PEAQBasic_Score
-2.075
-2.061
-2.114
-2.066
-2.548
-2.934
-2.319
-2.113
-2.686
-2.611
-2.035
-2.12
-2.989
-2.15
-2.118
-2.087
-1.95
-2.22
-3.267
-2.097
-2.011
-2.346
-2.069
-2.093
-2.28
-2.192
-2.544
-2.427
-2.128
-2.194
-2.264
-2.363
-2.023
-2.071
-1.983
-2.024
-1.974
-2.017
-2.21
-2.061
-2.044
-2.304
-2.089
-2.112
-2.877
-2.418
-2.02
-2.72
-2.062
-2.159
-1.996
-1.983
-2.115
-2.277
-2.225
-2.144
-2.582
-2.431
-2.378
-2.532
-2.378
-2.013
-2.059
-2.396
-2.585
-2.303
-2.075
-2.24
-2.119
-2.502
-2.792
-2.236
-2.328
-2.026
-2.146
-2.362
-2.769
-2.17
-2.124
-2.257
-2.132
-2.097
-2.466
-2.957
-2.052
-2.773
-2.158
-2.103
-1.994
-2.222
-2.041
-2.249
-2.109
-2.166
-3.059
-2.038
-3.287
-2.111
-2.022
-3.016
