HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
65,0.83,65,0.83,65,0.25,65,0.72,65,0.94,65,0.9,65,0.25,65,0.76
66,0.83,66,0.83,66,0.24,66,0.74,66,0.94,66,0.91,66,0.25,66,0.78
67,0.83,67,0.83,67,0.24,67,0.71,67,0.94,67,0.91,67,0.24,67,0.73
68,0.83,68,0.83,68,0.24,68,0.76,68,0.95,68,0.92,68,0.24,68,0.79
69,0.83,69,0.83,69,0.24,69,0.72,69,0.95,69,0.92,69,0.24,69,0.74
70,0.83,70,0.83,70,0.24,70,0.69,70,0.95,70,0.93,70,0.24,70,0.72
71,0.83,71,0.83,71,0.24,71,0.73,71,0.95,71,0.93,71,0.24,71,0.76
72,0.83,72,0.83,72,0.24,72,0.73,72,0.95,72,0.93,72,0.24,72,0.77
73,0.83,73,0.83,73,0.23,73,0.7,73,0.95,73,0.93,73,0.24,73,0.73
74,0.83,74,0.83,74,0.24,74,0.72,74,0.95,74,0.93,74,0.24,74,0.74
75,0.83,75,0.83,75,0.23,75,0.73,75,0.95,75,0.94,75,0.24,75,0.76
76,0.83,76,0.83,76,0.23,76,0.76,76,0.95,76,0.94,76,0.23,76,0.78
77,0.83,77,0.83,77,0.23,77,0.74,77,0.95,77,0.94,77,0.23,77,0.76
78,0.83,78,0.83,78,0.23,78,0.7,78,0.95,78,0.94,78,0.23,78,0.73
79,0.83,79,0.83,79,0.23,79,0.71,79,0.96,79,0.95,79,0.23,79,0.73
80,0.83,80,0.83,80,0.23,80,0.71,80,0.95,80,0.94,80,0.23,80,0.73
81,0.83,81,0.83,81,0.23,81,0.71,81,0.95,81,0.95,81,0.23,81,0.74
82,0.83,82,0.83,82,0.23,82,0.72,82,0.95,82,0.95,82,0.23,82,0.74
83,0.83,83,0.83,83,0.23,83,0.69,83,0.95,83,0.95,83,0.23,83,0.71
84,0.83,84,0.83,84,0.22,84,0.7,84,0.95,84,0.95,84,0.23,84,0.72
85,0.83,85,0.83,85,0.22,85,0.72,85,0.95,85,0.96,85,0.23,85,0.75
86,0.83,86,0.83,86,0.22,86,0.7,86,0.96,86,0.95,86,0.23,86,0.73
87,0.83,87,0.83,87,0.22,87,0.71,87,0.95,87,0.95,87,0.23,87,0.72
88,0.83,88,0.83,88,0.22,88,0.71,88,0.96,88,0.95,88,0.22,88,0.71
89,0.83,89,0.83,89,0.22,89,0.7,89,0.96,89,0.96,89,0.22,89,0.71
90,0.83,90,0.83,90,0.22,90,0.68,90,0.95,90,0.96,90,0.22,90,0.69
91,0.83,91,0.83,91,0.22,91,0.7,91,0.95,91,0.96,91,0.22,91,0.72
92,0.83,92,0.83,92,0.22,92,0.66,92,0.96,92,0.96,92,0.22,92,0.67
93,0.83,93,0.83,93,0.22,93,0.66,93,0.96,93,0.96,93,0.22,93,0.67
94,0.83,94,0.83,94,0.22,94,0.68,94,0.96,94,0.96,94,0.22,94,0.71
95,0.83,95,0.83,95,0.22,95,0.65,95,0.96,95,0.96,95,0.22,95,0.66
96,0.83,96,0.83,96,0.22,96,0.67,96,0.96,96,0.97,96,0.22,96,0.68
97,0.83,97,0.83,97,0.21,97,0.69,97,0.96,97,0.96,97,0.22,97,0.7
98,0.83,98,0.84,98,0.21,98,0.7,98,0.96,98,0.96,98,0.22,98,0.71
99,0.83,99,0.83,99,0.21,99,0.71,99,0.97,99,0.96,99,0.22,99,0.72
