HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
65,0.85,65,0.85,65,0.27,65,0.71,65,0.96,65,0.92,65,0.27,65,0.75
66,0.85,66,0.85,66,0.26,66,0.74,66,0.96,66,0.94,66,0.26,66,0.79
67,0.85,67,0.85,67,0.26,67,0.76,67,0.96,67,0.94,67,0.26,67,0.8
68,0.86,68,0.85,68,0.26,68,0.74,68,0.96,68,0.94,68,0.26,68,0.77
69,0.86,69,0.85,69,0.26,69,0.73,69,0.96,69,0.94,69,0.26,69,0.76
70,0.86,70,0.85,70,0.26,70,0.73,70,0.96,70,0.94,70,0.26,70,0.76
71,0.85,71,0.85,71,0.26,71,0.71,71,0.97,71,0.94,71,0.26,71,0.73
72,0.86,72,0.85,72,0.26,72,0.74,72,0.97,72,0.94,72,0.26,72,0.77
73,0.85,73,0.85,73,0.26,73,0.72,73,0.97,73,0.95,73,0.26,73,0.75
74,0.85,74,0.85,74,0.25,74,0.71,74,0.96,74,0.95,74,0.26,74,0.75
75,0.86,75,0.85,75,0.25,75,0.78,75,0.96,75,0.95,75,0.25,75,0.82
76,0.85,76,0.85,76,0.25,76,0.72,76,0.96,76,0.96,76,0.25,76,0.75
77,0.86,77,0.85,77,0.25,77,0.72,77,0.96,77,0.96,77,0.25,77,0.75
78,0.85,78,0.85,78,0.25,78,0.76,78,0.96,78,0.95,78,0.25,78,0.78
79,0.85,79,0.85,79,0.25,79,0.74,79,0.97,79,0.96,79,0.25,79,0.78
80,0.86,80,0.85,80,0.24,80,0.72,80,0.97,80,0.97,80,0.25,80,0.75
81,0.86,81,0.86,81,0.24,81,0.7,81,0.98,81,0.97,81,0.25,81,0.73
82,0.86,82,0.85,82,0.24,82,0.73,82,0.97,82,0.96,82,0.24,82,0.77
83,0.85,83,0.85,83,0.24,83,0.77,83,0.97,83,0.96,83,0.24,83,0.79
84,0.85,84,0.85,84,0.24,84,0.72,84,0.97,84,0.96,84,0.24,84,0.75
85,0.86,85,0.85,85,0.24,85,0.74,85,0.97,85,0.97,85,0.24,85,0.76
86,0.85,86,0.85,86,0.24,86,0.76,86,0.97,86,0.97,86,0.24,86,0.79
87,0.85,87,0.85,87,0.24,87,0.74,87,0.97,87,0.97,87,0.24,87,0.77
88,0.85,88,0.85,88,0.24,88,0.76,88,0.97,88,0.97,88,0.24,88,0.79
89,0.85,89,0.85,89,0.24,89,0.7,89,0.97,89,0.97,89,0.24,89,0.72
90,0.85,90,0.85,90,0.24,90,0.75,90,0.97,90,0.97,90,0.24,90,0.77
91,0.85,91,0.85,91,0.24,91,0.73,91,0.97,91,0.97,91,0.24,91,0.75
92,0.85,92,0.85,92,0.23,92,0.74,92,0.97,92,0.97,92,0.24,92,0.76
93,0.85,93,0.85,93,0.23,93,0.74,93,0.97,93,0.98,93,0.24,93,0.76
94,0.85,94,0.85,94,0.23,94,0.74,94,0.97,94,0.98,94,0.24,94,0.75
95,0.85,95,0.85,95,0.23,95,0.74,95,0.97,95,0.97,95,0.24,95,0.75
96,0.85,96,0.85,96,0.23,96,0.73,96,0.97,96,0.97,96,0.23,96,0.76
97,0.85,97,0.85,97,0.23,97,0.7,97,0.97,97,0.97,97,0.23,97,0.72
98,0.85,98,0.85,98,0.23,98,0.74,98,0.97,98,0.97,98,0.23,98,0.76
99,0.85,99,0.85,99,0.23,99,0.72,99,0.97,99,0.97,99,0.23,99,0.75
