HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
35,0.83,35,0.82,35,0.35,35,0.79,35,0.92,35,0.8,35,0.34,35,0.89
36,0.84,36,0.83,36,0.34,36,0.8,36,0.92,36,0.83,36,0.33,36,0.89
37,0.84,37,0.83,37,0.34,37,0.8,37,0.93,37,0.83,37,0.33,37,0.89
38,0.84,38,0.83,38,0.33,38,0.79,38,0.93,38,0.84,38,0.32,38,0.89
39,0.84,39,0.83,39,0.33,39,0.8,39,0.93,39,0.85,39,0.32,39,0.89
40,0.84,40,0.83,40,0.32,40,0.81,40,0.94,40,0.85,40,0.32,40,0.9
41,0.84,41,0.84,41,0.32,41,0.8,41,0.94,41,0.86,41,0.31,41,0.88
42,0.84,42,0.84,42,0.32,42,0.78,42,0.94,42,0.86,42,0.31,42,0.86
43,0.84,43,0.84,43,0.32,43,0.78,43,0.94,43,0.86,43,0.31,43,0.86
44,0.84,44,0.83,44,0.31,44,0.77,44,0.94,44,0.86,44,0.31,44,0.84
45,0.84,45,0.84,45,0.31,45,0.79,45,0.95,45,0.87,45,0.3,45,0.87
46,0.84,46,0.84,46,0.3,46,0.8,46,0.94,46,0.88,46,0.3,46,0.88
47,0.84,47,0.84,47,0.3,47,0.8,47,0.95,47,0.88,47,0.29,47,0.89
48,0.84,48,0.84,48,0.3,48,0.8,48,0.95,48,0.89,48,0.29,48,0.88
49,0.84,49,0.84,49,0.29,49,0.76,49,0.95,49,0.89,49,0.29,49,0.84
50,0.84,50,0.84,50,0.29,50,0.79,50,0.95,50,0.9,50,0.29,50,0.88
51,0.84,51,0.84,51,0.29,51,0.77,51,0.95,51,0.91,51,0.28,51,0.85
52,0.84,52,0.84,52,0.29,52,0.79,52,0.95,52,0.9,52,0.28,52,0.86
53,0.84,53,0.84,53,0.28,53,0.79,53,0.95,53,0.9,53,0.28,53,0.88
54,0.84,54,0.84,54,0.28,54,0.79,54,0.96,54,0.92,54,0.28,54,0.86
55,0.84,55,0.84,55,0.28,55,0.77,55,0.96,55,0.91,55,0.28,55,0.84
56,0.84,56,0.84,56,0.28,56,0.78,56,0.96,56,0.92,56,0.27,56,0.85
57,0.84,57,0.84,57,0.27,57,0.79,57,0.96,57,0.92,57,0.27,57,0.87
58,0.84,58,0.83,58,0.27,58,0.78,58,0.96,58,0.93,58,0.27,58,0.84
59,0.84,59,0.84,59,0.27,59,0.77,59,0.96,59,0.92,59,0.26,59,0.85
60,0.84,60,0.84,60,0.26,60,0.78,60,0.96,60,0.93,60,0.26,60,0.87
61,0.84,61,0.84,61,0.26,61,0.77,61,0.96,61,0.93,61,0.26,61,0.83
62,0.84,62,0.84,62,0.26,62,0.79,62,0.97,62,0.94,62,0.26,62,0.86
63,0.84,63,0.84,63,0.26,63,0.77,63,0.97,63,0.93,63,0.26,63,0.85
64,0.84,64,0.84,64,0.26,64,0.75,64,0.97,64,0.94,64,0.26,64,0.81
65,0.84,65,0.84,65,0.25,65,0.78,65,0.97,65,0.94,65,0.25,65,0.85
66,0.84,66,0.84,66,0.25,66,0.77,66,0.97,66,0.95,66,0.25,66,0.84
67,0.84,67,0.84,67,0.25,67,0.75,67,0.97,67,0.95,67,0.25,67,0.81
68,0.84,68,0.84,68,0.25,68,0.78,68,0.97,68,0.96,68,0.25,68,0.85
69,0.84,69,0.84,69,0.25,69,0.77,69,0.97,69,0.96,69,0.25,69,0.84
70,0.84,70,0.84,70,0.25,70,0.76,70,0.97,70,0.96,70,0.25,70,0.82
71,0.84,71,0.84,71,0.24,71,0.77,71,0.98,71,0.96,71,0.24,71,0.83
72,0.84,72,0.84,72,0.24,72,0.76,72,0.97,72,0.96,72,0.24,72,0.84
73,0.84,73,0.84,73,0.24,73,0.78,73,0.98,73,0.96,73,0.24,73,0.85
74,0.84,74,0.84,74,0.24,74,0.78,74,0.97,74,0.96,74,0.24,74,0.85
75,0.84,75,0.84,75,0.24,75,0.76,75,0.98,75,0.97,75,0.24,75,0.83
76,0.84,76,0.84,76,0.24,76,0.76,76,0.97,76,0.97,76,0.24,76,0.81
77,0.84,77,0.84,77,0.23,77,0.76,77,0.98,77,0.97,77,0.23,77,0.83
78,0.84,78,0.84,78,0.23,78,0.77,78,0.98,78,0.98,78,0.23,78,0.83
