Vis_Score
-0.5
-0.52
-0.53
-0.54
-0.54
-0.52
-0.55
-0.53
-0.55
-0.54
-0.5
-0.52
-0.52
-0.52
-0.53
-0.52
-0.51
-0.52
-0.52
-0.52
-0.55
-0.53
-0.52
-0.54
-0.52
-0.51
-0.52
-0.52
-0.51
-0.51
-0.51
-0.54
-0.53
-0.51
-0.52
-0.51
-0.52
-0.53
-0.55
-0.57
-0.52
-0.53
-0.54
-0.52
-0.52
-0.51
-0.51
-0.53
-0.54
-0.5
-0.52
-0.52
-0.52
-0.55
-0.54
-0.51
-0.5
-0.51
-0.53
-0.52
-0.52
-0.5
-0.52
-0.52
-0.51
-0.5
-0.52
-0.52
-0.52
-0.5
-0.51
-0.53
-0.53
-0.52
-0.56
-0.51
-0.55
-0.51
-0.52
-0.53
-0.52
-0.52
-0.54
-0.51
-0.57
-0.54
-0.52
-0.54
-0.51
-0.54
-0.51
-0.53
-0.52
-0.51
-0.55
-0.54
-0.54
-0.53
-0.51
-0.52
