Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
50,-1.3139,50,-1.3682,50,-3.1126,50,-2.0703,50,-0.74655,50,-1.0985,50,-3.1322,50,-2.0061
51,-1.437,51,-1.572,51,-3.1197,51,-2.0756,51,-0.70722,51,-1.4409,51,-3.1353,51,-2.1645
52,-1.3687,52,-1.5633,52,-3.1233,52,-2.0958,52,-0.62468,52,-1.101,52,-3.1415,52,-2.2468
53,-1.34,53,-1.4915,53,-3.1462,53,-2.2445,53,-0.4657,53,-1.1464,53,-3.1504,53,-2.2036
54,-1.3401,54,-1.4357,54,-3.1481,54,-2.1471,54,-0.56992,54,-0.97269,54,-3.145,54,-2.0456
55,-1.3725,55,-1.3775,55,-3.1481,55,-1.9711,55,-0.57202,55,-1.1411,55,-3.1616,55,-1.8252
56,-1.3712,56,-1.4475,56,-3.1452,56,-2.0644,56,-0.65872,56,-1.0626,56,-3.1554,56,-2.0646
57,-1.3156,57,-1.4082,57,-3.1561,57,-2.2781,57,-0.5444,57,-0.95244,57,-3.1605,57,-2.1394
58,-1.3568,58,-1.2921,58,-3.157,58,-1.9688,58,-0.47635,58,-0.91243,58,-3.1644,58,-2.0112
59,-1.3282,59,-1.4849,59,-3.1703,59,-2.0785,59,-0.5447,59,-0.87588,59,-3.1748,59,-1.9472
60,-1.3175,60,-1.4435,60,-3.168,60,-2.1637,60,-0.51345,60,-0.92397,60,-3.1748,60,-2.0283
61,-1.3122,61,-1.4783,61,-3.1825,61,-2.0849,61,-0.51924,61,-0.88251,61,-3.1795,61,-2.0139
62,-1.3258,62,-1.311,62,-3.1857,62,-2.1683,62,-0.53523,62,-0.78356,62,-3.1916,62,-2.109
63,-1.3675,63,-1.5376,63,-3.1895,63,-2.0867,63,-0.49314,63,-0.87785,63,-3.1972,63,-1.8961
64,-1.337,64,-1.5832,64,-3.2124,64,-2.0922,64,-0.55615,64,-0.95625,64,-3.2107,64,-2.1349
65,-1.3561,65,-1.5007,65,-3.2111,65,-2.2827,65,-0.47427,65,-0.87238,65,-3.2042,65,-2.1941
66,-1.3777,66,-1.4344,66,-3.216,66,-2.2377,66,-0.51731,66,-0.72977,66,-3.2054,66,-2.1482
67,-1.3726,67,-1.4678,67,-3.2181,67,-2.3102,67,-0.48307,67,-0.70841,67,-3.2159,67,-2.2194
68,-1.3635,68,-1.4579,68,-3.221,68,-2.4152,68,-0.49722,68,-0.65409,68,-3.2135,68,-2.3781
69,-1.3943,69,-1.4525,69,-3.2261,69,-2.3799,69,-0.49554,69,-0.71197,69,-3.2179,69,-2.3271
