Hum SNR,score,WhiteNoise SNR,score.1,Clipping Percentage(%),score.2,Dropout Num,score.3,Hum SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage(%).1,score.6,Dropout Num.1,score.7
11,-0.6942857142857143,11.0,-2.544285714285714,11.0,-0.8285714285714285,11.0,-0.6799999999999999,11.0,-0.39142857142857146,11.0,-2.57,11.0,-0.6585714285714286,11.0,-0.3442857142857143
12,-0.6857142857142857,12.0,-2.434285714285714,12.0,-0.8542857142857143,12.0,-0.6642857142857143,12.0,-0.3814285714285714,12.0,-2.457142857142857,12.0,-0.6857142857142857,12.0,-0.3314285714285714
13,-0.6842857142857143,13.0,-2.3485714285714288,13.0,-0.8571428571428571,13.0,-0.6614285714285714,13.0,-0.3742857142857143,13.0,-2.3728571428571428,13.0,-0.6928571428571428,13.0,-0.33142857142857146
14,-0.6785714285714286,14.0,-2.2657142857142856,14.0,-0.88,14.0,-0.6814285714285714,14.0,-0.3671428571428571,14.0,-2.2885714285714287,14.0,-0.7214285714285714,14.0,-0.3628571428571429
15,-0.6742857142857143,15.0,-2.17,15.0,-0.8914285714285715,15.0,-0.7028571428571428,15.0,-0.36,15.0,-2.1871428571428573,15.0,-0.7357142857142858,15.0,-0.3828571428571429
16,-0.6728571428571428,16.0,-2.0828571428571427,16.0,-0.9042857142857142,16.0,-0.6771428571428572,16.0,-0.35428571428571426,16.0,-2.1014285714285714,16.0,-0.7628571428571428,16.0,-0.35714285714285715
17,-0.6671428571428571,17.0,-1.99,17.0,-0.91,17.0,-0.687142857142857,17.0,-0.35000000000000003,17.0,-2.0214285714285714,17.0,-0.7785714285714286,17.0,-0.36714285714285716
18,-0.6642857142857144,18.0,-1.93,18.0,-0.9257142857142858,18.0,-0.687142857142857,18.0,-0.3457142857142857,18.0,-1.9485714285714286,18.0,-0.7914285714285715,18.0,-0.3657142857142857
19,-0.6614285714285714,19.0,-1.8414285714285714,19.0,-0.9299999999999999,19.0,-0.6942857142857143,19.0,-0.34285714285714286,19.0,-1.852857142857143,19.0,-0.8085714285714286,19.0,-0.37714285714285717
20,-0.6642857142857144,20.0,-1.7357142857142858,20.0,-0.9514285714285714,20.0,-0.687142857142857,20.0,-0.3385714285714286,20.0,-1.7485714285714287,20.0,-0.8385714285714286,20.0,-0.36428571428571427
21,-0.6585714285714286,21.0,-1.6585714285714286,21.0,-0.9642857142857143,21.0,-0.7157142857142856,21.0,-0.3385714285714286,21.0,-1.6614285714285715,21.0,-0.8485714285714286,21.0,-0.39285714285714285
22,-0.6585714285714286,22.0,-1.5957142857142856,22.0,-0.9757142857142858,22.0,-0.7014285714285714,22.0,-0.33285714285714285,22.0,-1.5985714285714285,22.0,-0.8714285714285713,22.0,-0.3885714285714285
23,-0.6571428571428571,23.0,-1.5314285714285716,23.0,-0.9914285714285713,23.0,-0.7085714285714285,23.0,-0.33428571428571424,23.0,-1.5285714285714285,23.0,-0.8942857142857142,23.0,-0.3985714285714286
24,-0.6542857142857142,24.0,-1.457142857142857,24.0,-0.9971428571428571,24.0,-0.7142857142857143,24.0,-0.32857142857142857,24.0,-1.447142857142857,24.0,-0.9014285714285715,24.0,-0.39999999999999997
25,-0.6571428571428571,25.0,-1.3885714285714286,25.0,-1.01,25.0,-0.7028571428571428,25.0,-0.33,25.0,-1.3757142857142857,25.0,-0.9171428571428571,25.0,-0.38571428571428573
26,-0.6542857142857142,26.0,-1.3214285714285714,26.0,-1.0214285714285716,26.0,-0.7028571428571428,26.0,-0.3271428571428571,26.0,-1.2942857142857143,26.0,-0.9328571428571429,26.0,-0.40857142857142853
27,-0.65,27.0,-1.2557142857142858,27.0,-1.0385714285714287,27.0,-0.7142857142857143,27.0,-0.32857142857142857,27.0,-1.217142857142857,27.0,-0.9514285714285714,27.0,-0.39999999999999997
28,-0.65,28.0,-1.195714285714286,28.0,-1.0542857142857143,28.0,-0.7314285714285714,28.0,-0.32142857142857145,28.0,-1.1485714285714288,28.0,-0.9657142857142856,28.0,-0.4257142857142857
29,-0.6528571428571429,29.0,-1.1414285714285715,29.0,-1.0642857142857143,29.0,-0.7000000000000001,29.0,-0.3242857142857143,29.0,-1.0914285714285714,29.0,-0.9857142857142858,29.0,-0.4042857142857143
30,-0.65,30.0,-1.0971428571428572,30.0,-1.0799999999999998,30.0,-0.7271428571428571,30.0,-0.32142857142857145,30.0,-1.0271428571428571,30.0,-0.9985714285714286,30.0,-0.42428571428571427
31,-0.6485714285714286,31.0,-1.0414285714285714,31.0,-1.09,31.0,-0.7314285714285714,31.0,-0.32142857142857145,31.0,-0.9571428571428572,31.0,-1.012857142857143,31.0,-0.43142857142857144
32,-0.6485714285714286,32.0,-0.9957142857142857,32.0,-1.0971428571428572,32.0,-0.7142857142857143,32.0,-0.31714285714285717,32.0,-0.9014285714285714,32.0,-1.0257142857142856,32.0,-0.42
33,-0.6471428571428571,33.0,-0.9528571428571428,33.0,-1.1114285714285714,33.0,-0.7328571428571429,33.0,-0.3157142857142857,33.0,-0.84,33.0,-1.0414285714285714,33.0,-0.4428571428571429
34,-0.6471428571428571,34.0,-0.9142857142857144,34.0,-1.1185714285714285,34.0,-0.7185714285714286,34.0,-0.31285714285714283,34.0,-0.7871428571428571,34.0,-1.0485714285714285,34.0,-0.42142857142857143
35,-0.6471428571428571,35.0,-0.8885714285714286,35.0,-1.1300000000000001,35.0,-0.7285714285714285,35.0,-0.31142857142857144,35.0,-0.7471428571428572,35.0,-1.0657142857142856,35.0,-0.43714285714285717
36,-0.6428571428571429,36.0,-0.8628571428571429,36.0,-1.1342857142857143,36.0,-0.7414285714285714,36.0,-0.3157142857142857,36.0,-0.71,36.0,-1.0771428571428572,36.0,-0.45
37,-0.6442857142857142,37.0,-0.8314285714285715,37.0,-1.1485714285714288,37.0,-0.7428571428571429,37.0,-0.31,37.0,-0.6685714285714285,37.0,-1.0971428571428572,37.0,-0.4514285714285714
38,-0.6428571428571429,38.0,-0.8128571428571428,38.0,-1.162857142857143,38.0,-0.7585714285714286,38.0,-0.31,38.0,-0.6385714285714286,38.0,-1.1042857142857143,38.0,-0.47000000000000003
39,-0.6442857142857142,39.0,-0.7928571428571428,39.0,-1.167142857142857,39.0,-0.7257142857142858,39.0,-0.31,39.0,-0.6114285714285714,39.0,-1.117142857142857,39.0,-0.4342857142857143
40,-0.6457142857142857,40.0,-0.7757142857142857,40.0,-1.1714285714285713,40.0,-0.7542857142857142,40.0,-0.31,40.0,-0.5871428571428572,40.0,-1.1328571428571428,40.0,-0.4642857142857143
41,-0.6414285714285715,41.0,-0.7642857142857142,41.0,-1.19,41.0,-0.7442857142857143,41.0,-0.30428571428571427,41.0,-0.5671428571428572,41.0,-1.1485714285714288,41.0,-0.4485714285714285
42,-0.6428571428571429,42.0,-0.75,42.0,-1.2085714285714284,42.0,-0.7485714285714286,42.0,-0.3071428571428571,42.0,-0.5371428571428571,42.0,-1.16,42.0,-0.4628571428571428
43,-0.6428571428571429,43.0,-0.7242857142857143,43.0,-1.2157142857142857,43.0,-0.7228571428571428,43.0,-0.3057142857142857,43.0,-0.5157142857142857,43.0,-1.18,43.0,-0.44
44,-0.6442857142857142,44.0,-0.7157142857142856,44.0,-1.227142857142857,44.0,-0.7785714285714286,44.0,-0.30428571428571427,44.0,-0.48714285714285716,44.0,-1.1942857142857142,44.0,-0.49857142857142855
45,-0.6414285714285715,45.0,-0.7057142857142856,45.0,-1.2285714285714284,45.0,-0.7585714285714286,45.0,-0.3057142857142857,45.0,-0.4628571428571428,45.0,-1.1942857142857142,45.0,-0.48
46,-0.64,46.0,-0.7014285714285714,46.0,-1.252857142857143,46.0,-0.7671428571428571,46.0,-0.3028571428571429,46.0,-0.44,46.0,-1.2257142857142858,46.0,-0.49142857142857144
47,-0.6428571428571429,47.0,-0.6900000000000001,47.0,-1.2614285714285713,47.0,-0.7542857142857143,47.0,-0.3,47.0,-0.4185714285714286,47.0,-1.2342857142857144,47.0,-0.47714285714285715
48,-0.6385714285714286,48.0,-0.6828571428571429,48.0,-1.2714285714285716,48.0,-0.7628571428571428,48.0,-0.3028571428571429,48.0,-0.40285714285714286,48.0,-1.25,48.0,-0.4814285714285714
49,-0.6399999999999999,49.0,-0.6785714285714286,49.0,-1.2899999999999998,49.0,-0.7842857142857144,49.0,-0.3,49.0,-0.3914285714285714,49.0,-1.2685714285714285,49.0,-0.5085714285714286
50,-0.6428571428571429,50.0,-0.6771428571428572,50.0,-1.3,50.0,-0.7742857142857142,50.0,-0.29857142857142854,50.0,-0.3857142857142857,50.0,-1.2757142857142856,50.0,-0.49714285714285716
51,-0.6399999999999999,51.0,-0.6742857142857143,51.0,-1.3171428571428572,51.0,-0.7671428571428571,51.0,-0.3,51.0,-0.37714285714285717,51.0,-1.2957142857142858,51.0,-0.5
52,-0.6385714285714286,52.0,-0.6685714285714285,52.0,-1.327142857142857,52.0,-0.7685714285714286,52.0,-0.29714285714285715,52.0,-0.3671428571428571,52.0,-1.3071428571428572,52.0,-0.4985714285714286
53,-0.6371428571428571,53.0,-0.6671428571428571,53.0,-1.332857142857143,53.0,-0.7814285714285714,53.0,-0.29714285714285715,53.0,-0.35857142857142854,53.0,-1.3142857142857143,53.0,-0.5071428571428571
54,-0.6399999999999999,54.0,-0.6657142857142857,54.0,-1.3457142857142856,54.0,-0.7814285714285714,54.0,-0.29285714285714287,54.0,-0.35571428571428576,54.0,-1.3314285714285714,54.0,-0.5171428571428571
55,-0.6357142857142858,55.0,-0.66,55.0,-1.352857142857143,55.0,-0.7728571428571429,55.0,-0.2942857142857143,55.0,-0.3485714285714286,55.0,-1.3385714285714285,55.0,-0.5014285714285714
56,-0.6357142857142858,56.0,-0.66,56.0,-1.3699999999999999,56.0,-0.8057142857142857,56.0,-0.29571428571428576,56.0,-0.35285714285714287,56.0,-1.3557142857142856,56.0,-0.5285714285714286
57,-0.6342857142857142,57.0,-0.6585714285714286,57.0,-1.3800000000000001,57.0,-0.8142857142857143,57.0,-0.2942857142857143,57.0,-0.34142857142857147,57.0,-1.3728571428571428,57.0,-0.5457142857142857
58,-0.6371428571428571,58.0,-0.6557142857142857,58.0,-1.3971428571428572,58.0,-0.7828571428571429,58.0,-0.29571428571428576,58.0,-0.34142857142857147,58.0,-1.3900000000000001,58.0,-0.5114285714285715
59,-0.6385714285714286,59.0,-0.6557142857142857,59.0,-1.4114285714285715,59.0,-0.7957142857142857,59.0,-0.2942857142857143,59.0,-0.33285714285714285,59.0,-1.41,59.0,-0.5242857142857142
