Hum SNR,score,WhiteNoise SNR,score.1,Clipping Percentage,score.2,Dropout Num,score.3,Hum SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage.1,score.6,Dropout Num.1,score.7
22,-1.2253157142857145,22.0,-3.0673,22.0,-2.8872714285714283,22.0,-1.7365857142857144,22.0,-0.8748585714285715,22.0,-3.0849714285714285,22.0,-2.9238142857142857,22.0,-1.4250971428571428
23,-1.2017242857142858,23.0,-2.9955428571428575,23.0,-2.908585714285714,23.0,-1.8252428571428572,23.0,-0.8512842857142857,23.0,-3.0487571428571427,23.0,-2.944542857142857,23.0,-1.5249442857142859
24,-1.2237914285714286,24.0,-2.9500285714285712,24.0,-2.916514285714286,24.0,-1.7716714285714286,24.0,-0.8226071428571429,24.0,-2.999357142857143,24.0,-2.943885714285714,24.0,-1.4547142857142856
25,-1.198622857142857,25.0,-2.920414285714286,25.0,-2.9294714285714285,25.0,-1.7508714285714286,25.0,-0.7799685714285715,25.0,-2.9526857142857144,25.0,-2.964342857142857,25.0,-1.3703228571428572
26,-1.2097614285714287,26.0,-2.9084000000000003,26.0,-2.9422714285714284,26.0,-1.8862,26.0,-0.77661,26.0,-2.9565714285714284,26.0,-2.9726857142857144,26.0,-1.50824
27,-1.1670157142857143,27.0,-2.8580714285714284,27.0,-2.9560142857142857,27.0,-1.7859,27.0,-0.7805428571428571,27.0,-2.886914285714286,27.0,-2.991457142857143,27.0,-1.4915085714285714
28,-1.1773385714285713,28.0,-2.840157142857143,28.0,-2.965957142857143,28.0,-2.0025142857142857,28.0,-0.7530557142857143,28.0,-2.8464714285714288,28.0,-2.9963571428571427,28.0,-1.8051357142857143
29,-1.1782671428571427,29.0,-2.768671428571429,29.0,-2.9721285714285712,29.0,-1.9898857142857143,29.0,-0.7327142857142857,29.0,-2.8017714285714286,29.0,-2.998614285714286,29.0,-1.703242857142857
30,-1.153222857142857,30.0,-2.732142857142857,30.0,-2.984785714285714,30.0,-1.8671142857142855,30.0,-0.7199285714285715,30.0,-2.752357142857143,30.0,-3.013257142857143,30.0,-1.5958728571428573
31,-1.1123742857142858,31.0,-2.7141142857142855,31.0,-2.999271428571429,31.0,-1.9082428571428571,31.0,-0.7272142857142858,31.0,-2.7454571428571426,31.0,-3.018828571428571,31.0,-1.6924428571428571
32,-1.124947142857143,32.0,-2.653442857142857,32.0,-3.0082285714285715,32.0,-1.9096428571428572,32.0,-0.6927457142857143,32.0,-2.6695142857142855,32.0,-3.0319142857142856,32.0,-1.6912642857142859
33,-1.114062857142857,33.0,-2.5702285714285713,33.0,-3.034157142857143,33.0,-1.9117428571428572,33.0,-0.6913128571428572,33.0,-2.6139,33.0,-3.0503428571428572,33.0,-1.701102857142857
34,-1.1378014285714286,34.0,-2.498871428571429,34.0,-3.0389142857142857,34.0,-1.9810857142857141,34.0,-0.69871,34.0,-2.5395857142857143,34.0,-3.054642857142857,34.0,-1.778857142857143
35,-1.131422857142857,35.0,-2.4865999999999997,35.0,-3.0447142857142855,35.0,-2.029457142857143,35.0,-0.6605314285714287,35.0,-2.4939142857142858,35.0,-3.0549571428571425,35.0,-1.9032857142857142
36,-1.1097371428571428,36.0,-2.4194,36.0,-3.0507,36.0,-2.058214285714286,36.0,-0.6769871428571428,36.0,-2.454957142857143,36.0,-3.0675142857142856,36.0,-1.8295042857142858
37,-1.1033814285714285,37.0,-2.2897,37.0,-3.056285714285714,37.0,-2.0934285714285714,37.0,-0.6075557142857143,37.0,-2.321957142857143,37.0,-3.0753714285714286,37.0,-1.9245
38,-1.0999957142857142,38.0,-2.280685714285714,38.0,-3.0638714285714284,38.0,-2.1410857142857145,38.0,-0.6291328571428572,38.0,-2.320385714285714,38.0,-3.0799714285714286,38.0,-2.030922857142857
39,-1.1237671428571427,39.0,-2.210542857142857,39.0,-3.0653714285714284,39.0,-2.125242857142857,39.0,-0.6338771428571429,39.0,-2.2514714285714286,39.0,-3.0868428571428574,39.0,-1.9395085714285716
40,-1.1373128571428572,40.0,-2.1207714285714285,40.0,-3.0909714285714287,40.0,-2.1542857142857144,40.0,-0.6125485714285714,40.0,-2.138328571428571,40.0,-3.1045000000000003,40.0,-1.9984214285714288
41,-1.1188214285714284,41.0,-2.118514285714286,41.0,-3.0957857142857144,41.0,-2.0146142857142855,41.0,-0.6361,41.0,-2.115557142857143,41.0,-3.1051571428571427,41.0,-1.8464971428571426
42,-1.1400685714285714,42.0,-2.047814285714286,42.0,-3.0985428571428573,42.0,-2.1372857142857145,42.0,-0.6266728571428571,42.0,-2.028342857142857,42.0,-3.114442857142857,42.0,-1.9704142857142857
43,-1.1469799999999999,43.0,-1.9594428571428573,43.0,-3.110042857142857,43.0,-2.1143,43.0,-0.63766,43.0,-1.936785714285714,43.0,-3.1182000000000003,43.0,-1.9934542857142858
44,-1.1222971428571429,44.0,-1.8509,44.0,-3.117971428571429,44.0,-2.1806,44.0,-0.5967757142857143,44.0,-1.8836285714285714,44.0,-3.1239142857142856,44.0,-2.026197142857143
45,-1.1244942857142857,45.0,-1.7563285714285715,45.0,-3.1180999999999996,45.0,-2.2016999999999998,45.0,-0.5911457142857143,45.0,-1.7086000000000001,45.0,-3.1235285714285714,45.0,-2.0532714285714286
46,-1.1423471428571428,46.0,-1.6779,46.0,-3.1178999999999997,46.0,-2.1739,46.0,-0.5958214285714286,46.0,-1.5649971428571428,46.0,-3.130128571428571,46.0,-1.9905571428571431
47,-1.13371,47.0,-1.6211,47.0,-3.130128571428571,47.0,-2.2329142857142856,47.0,-0.5389842857142857,47.0,-1.5775371428571427,47.0,-3.137742857142857,47.0,-2.1559
48,-1.13734,48.0,-1.568842857142857,48.0,-3.1373857142857142,48.0,-2.194114285714286,48.0,-0.5617042857142857,48.0,-1.446572857142857,48.0,-3.1415714285714285,48.0,-2.046442857142857
49,-1.1176257142857142,49.0,-1.5170628571428573,49.0,-3.1382714285714286,49.0,-2.3828285714285715,49.0,-0.5630928571428571,49.0,-1.3702142857142856,49.0,-3.1434428571428574,49.0,-2.375085714285714
50,-1.126947142857143,50.0,-1.4397814285714285,50.0,-3.147042857142857,50.0,-2.166457142857143,50.0,-0.5792814285714286,50.0,-1.2619442857142857,50.0,-3.1509571428571426,50.0,-2.0514657142857144
51,-1.1272542857142855,51.0,-1.4549,51.0,-3.1526428571428573,51.0,-2.244442857142857,51.0,-0.5671185714285715,51.0,-1.291247142857143,51.0,-3.156628571428571,51.0,-2.178257142857143
52,-1.1230542857142856,52.0,-1.4154442857142857,52.0,-3.1557714285714282,52.0,-2.225142857142857,52.0,-0.5370742857142857,52.0,-1.1480442857142859,52.0,-3.1639857142857144,52.0,-2.2034142857142855
53,-1.11145,53.0,-1.3683214285714287,53.0,-3.1648428571428573,53.0,-2.2445857142857144,53.0,-0.5123271428571429,53.0,-1.1577057142857143,53.0,-3.170542857142857,53.0,-2.1980685714285717
54,-1.121967142857143,54.0,-1.2491614285714285,54.0,-3.1639000000000004,54.0,-2.2659,54.0,-0.5294728571428572,54.0,-1.0173028571428573,54.0,-3.1704142857142856,54.0,-2.1913285714285715
55,-1.1154414285714285,55.0,-1.2197442857142857,55.0,-3.1694999999999998,55.0,-2.2632,55.0,-0.51379,55.0,-1.0000742857142857,55.0,-3.1751142857142858,55.0,-2.2023
56,-1.1098328571428573,56.0,-1.21858,56.0,-3.1737285714285717,56.0,-2.3974285714285712,56.0,-0.5403142857142857,56.0,-0.9682299999999999,56.0,-3.179542857142857,56.0,-2.325357142857143
57,-1.087197142857143,57.0,-1.1968542857142859,57.0,-3.1813714285714285,57.0,-2.3348,57.0,-0.509,57.0,-0.9133185714285714,57.0,-3.1847857142857143,57.0,-2.2279285714285715
58,-1.1156014285714286,58.0,-1.14111,58.0,-3.1763000000000003,58.0,-2.320471428571429,58.0,-0.5252414285714285,58.0,-0.8441157142857143,58.0,-3.1822142857142857,58.0,-2.271042857142857
59,-1.097832857142857,59.0,-1.1557700000000002,59.0,-3.1835428571428572,59.0,-2.341128571428571,59.0,-0.5182614285714285,59.0,-0.82496,59.0,-3.1872714285714285,59.0,-2.258057142857143
60,-1.1048571428571428,60.0,-1.1258085714285715,60.0,-3.1864142857142856,60.0,-2.3678,60.0,-0.5138757142857143,60.0,-0.7988171428571429,60.0,-3.1904,60.0,-2.2710714285714286
61,-1.0963114285714286,61.0,-1.1300857142857144,61.0,-3.193114285714286,61.0,-2.454785714285714,61.0,-0.4977657142857143,61.0,-0.7667685714285714,61.0,-3.1965857142857144,61.0,-2.3672571428571425
62,-1.091967142857143,62.0,-1.0987214285714286,62.0,-3.1964571428571427,62.0,-2.416642857142857,62.0,-0.4914371428571429,62.0,-0.7459328571428571,62.0,-3.198842857142857,62.0,-2.359314285714286
63,-1.1226328571428572,63.0,-1.1276728571428571,63.0,-3.201571428571429,63.0,-2.397971428571428,63.0,-0.44791,63.0,-0.7522871428571429,63.0,-3.206171428571429,63.0,-2.320057142857143
64,-1.0852057142857143,64.0,-1.145012857142857,64.0,-3.2107428571428573,64.0,-2.4612857142857143,64.0,-0.48895857142857146,64.0,-0.70342,64.0,-3.2113857142857145,64.0,-2.4513428571428575
65,-1.10672,65.0,-1.1263757142857143,65.0,-3.211442857142857,65.0,-2.4174,65.0,-0.4785457142857143,65.0,-0.6610985714285714,65.0,-3.2119714285714283,65.0,-2.3249242857142858
66,-1.1053185714285714,66.0,-1.0990428571428572,66.0,-3.2101571428571427,66.0,-2.4314142857142858,66.0,-0.49104285714285717,66.0,-0.61404,66.0,-3.2133857142857143,66.0,-2.3821285714285714
67,-1.1248971428571428,67.0,-1.1307214285714287,67.0,-3.2154571428571432,67.0,-2.4069714285714285,67.0,-0.4831814285714286,67.0,-0.6182328571428571,67.0,-3.219457142857143,67.0,-2.368628571428571
68,-1.0818657142857142,68.0,-1.1226242857142856,68.0,-3.2211285714285713,68.0,-2.497,68.0,-0.4179514285714286,68.0,-0.6204114285714286,68.0,-3.2197428571428572,68.0,-2.425257142857143
69,-1.1264985714285713,69.0,-1.1031128571428572,69.0,-3.2206,69.0,-2.489757142857143,69.0,-0.4352157142857143,69.0,-0.6122685714285714,69.0,-3.2238571428571428,69.0,-2.4419714285714287
70,-1.0926614285714287,70.0,-1.1033785714285713,70.0,-3.2253714285714286,70.0,-2.4409285714285716,70.0,-0.4188057142857143,70.0,-0.57724,70.0,-3.2272571428571433,70.0,-2.3956285714285714
71,-1.11104,71.0,-1.101872857142857,71.0,-3.2275714285714288,71.0,-2.4837,71.0,-0.4383085714285714,71.0,-0.5365614285714285,71.0,-3.225314285714286,71.0,-2.4063714285714286
72,-1.0949414285714285,72.0,-1.1146942857142856,72.0,-3.232042857142857,72.0,-2.5498857142857143,72.0,-0.44918857142857144,72.0,-0.5751271428571428,72.0,-3.231414285714286,72.0,-2.525614285714286
73,-1.1044857142857143,73.0,-1.09447,73.0,-3.2349285714285716,73.0,-2.4986,73.0,-0.44384428571428575,73.0,-0.5470142857142857,73.0,-3.234314285714286,73.0,-2.4501142857142857
74,-1.1046185714285714,74.0,-1.1029157142857142,74.0,-3.2362714285714285,74.0,-2.4882285714285715,74.0,-0.43470714285714285,74.0,-0.5074785714285713,74.0,-3.236957142857143,74.0,-2.4256428571428574
75,-1.09004,75.0,-1.1150485714285714,75.0,-3.2420857142857145,75.0,-2.520914285714286,75.0,-0.4165528571428571,75.0,-0.5236828571428572,75.0,-3.245485714285714,75.0,-2.487142857142857
76,-1.1104342857142857,76.0,-1.09371,76.0,-3.2419571428571428,76.0,-2.556885714285714,76.0,-0.41544571428571425,76.0,-0.46695714285714285,76.0,-3.2449714285714286,76.0,-2.5618285714285713
77,-1.1019042857142858,77.0,-1.0942871428571428,77.0,-3.2462285714285715,77.0,-2.5509857142857144,77.0,-0.40730285714285713,77.0,-0.4904085714285714,77.0,-3.2487999999999997,77.0,-2.505557142857143
78,-1.0913685714285715,78.0,-1.105662857142857,78.0,-3.2507571428571427,78.0,-2.5253142857142854,78.0,-0.41006000000000004,78.0,-0.4991342857142857,78.0,-3.2561571428571425,78.0,-2.4431857142857143
79,-1.099867142857143,79.0,-1.1070214285714286,79.0,-3.2523714285714287,79.0,-2.5311142857142856,79.0,-0.39930857142857146,79.0,-0.46127,79.0,-3.2552999999999996,79.0,-2.535014285714286
80,-1.1003271428571428,80.0,-1.1073985714285715,80.0,-3.2582857142857145,80.0,-2.5452857142857144,80.0,-0.3918685714285714,80.0,-0.4291657142857143,80.0,-3.2603857142857144,80.0,-2.5041285714285713
81,-1.079227142857143,81.0,-1.0889271428571428,81.0,-3.2571714285714286,81.0,-2.524842857142857,81.0,-0.40101,81.0,-0.4180942857142857,81.0,-3.2621714285714285,81.0,-2.5703428571428573
82,-1.1055357142857143,82.0,-1.1138042857142858,82.0,-3.2642142857142855,82.0,-2.492642857142857,82.0,-0.3971,82.0,-0.43258857142857143,82.0,-3.2638142857142856,82.0,-2.4918857142857145
83,-1.1103942857142857,83.0,-1.0984642857142857,83.0,-3.265157142857143,83.0,-2.5179857142857145,83.0,-0.4010814285714286,83.0,-0.4532128571428572,83.0,-3.2635714285714283,83.0,-2.4778142857142855
84,-1.074547142857143,84.0,-1.0893000000000002,84.0,-3.2687999999999997,84.0,-2.547657142857143,84.0,-0.3969714285714286,84.0,-0.45398285714285713,84.0,-3.2672,84.0,-2.546
85,-1.1035157142857144,85.0,-1.1176514285714285,85.0,-3.268871428571429,85.0,-2.540371428571429,85.0,-0.4223614285714286,85.0,-0.39826571428571433,85.0,-3.269414285714286,85.0,-2.537342857142857
86,-1.1036342857142858,86.0,-1.1212485714285714,86.0,-3.2707714285714284,86.0,-2.618442857142857,86.0,-0.4394828571428571,86.0,-0.43591428571428575,86.0,-3.2744571428571425,86.0,-2.590942857142857
87,-1.111477142857143,87.0,-1.0959842857142859,87.0,-3.273842857142857,87.0,-2.5872428571428574,87.0,-0.4340957142857143,87.0,-0.4019128571428571,87.0,-3.2768714285714284,87.0,-2.5586714285714285
88,-1.1100342857142858,88.0,-1.087602857142857,88.0,-3.2733714285714286,88.0,-2.5321142857142855,88.0,-0.4351528571428571,88.0,-0.42595714285714287,88.0,-3.2752142857142856,88.0,-2.481257142857143
89,-1.089662857142857,89.0,-1.1046085714285714,89.0,-3.2799857142857145,89.0,-2.5519857142857143,89.0,-0.43243714285714285,89.0,-0.3853371428571428,89.0,-3.2814571428571426,89.0,-2.486871428571429
90,-1.0955371428571428,90.0,-1.1057742857142858,90.0,-3.2809714285714286,90.0,-2.5848857142857145,90.0,-0.4087014285714286,90.0,-0.38069,90.0,-3.2809714285714286,90.0,-2.557442857142857
91,-1.1015357142857143,91.0,-1.104922857142857,91.0,-3.286228571428571,91.0,-2.570114285714286,91.0,-0.3720757142857143,91.0,-0.39738,91.0,-3.2862142857142858,91.0,-2.5364571428571425
92,-1.09764,92.0,-1.101262857142857,92.0,-3.287085714285714,92.0,-2.646114285714286,92.0,-0.3542557142857143,92.0,-0.39442000000000005,92.0,-3.2890857142857146,92.0,-2.6059857142857146
93,-1.126,93.0,-1.0858257142857144,93.0,-3.2896571428571426,93.0,-2.5871714285714282,93.0,-0.33733142857142856,93.0,-0.3439685714285714,93.0,-3.2916,93.0,-2.5980285714285714
94,-1.0966728571428572,94.0,-1.0986285714285715,94.0,-3.290914285714286,94.0,-2.572942857142857,94.0,-0.38133999999999996,94.0,-0.3414585714285714,94.0,-3.2936571428571426,94.0,-2.5550285714285716
95,-1.0921871428571428,95.0,-1.1201714285714286,95.0,-3.2923857142857145,95.0,-2.6211714285714285,95.0,-0.3519528571428571,95.0,-0.33711857142857143,95.0,-3.295257142857143,95.0,-2.6039285714285714
96,-1.0944957142857141,96.0,-1.1012742857142857,96.0,-3.2937857142857143,96.0,-2.621528571428571,96.0,-0.36588714285714286,96.0,-0.3564442857142857,96.0,-3.295314285714286,96.0,-2.6294857142857144
97,-1.1061842857142856,97.0,-1.0893414285714285,97.0,-3.297871428571429,97.0,-2.573857142857143,97.0,-0.3866928571428571,97.0,-0.33498285714285714,97.0,-3.298885714285714,97.0,-2.5199
98,-1.1080628571428572,98.0,-1.09559,98.0,-3.3047714285714287,98.0,-2.5554142857142854,98.0,-0.37612285714285715,98.0,-0.34726142857142855,98.0,-3.3064571428571425,98.0,-2.5322428571428572
99,-1.1234114285714285,99.0,-1.1048614285714284,99.0,-3.306042857142857,99.0,-2.6552571428571428,99.0,-0.3660471428571429,99.0,-0.3323514285714286,99.0,-3.3071857142857146,99.0,-2.6440857142857146
