Hum SNR,score,WhiteNoise SNR,score.1,Clipping Percentage(%),score.2,Dropout Num,score.3,Hum SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage(%).1,score.6,Dropout Num.1,score.7
33,-1.3647142857142855,33.0,-2.645857142857143,33.0,-3.1965714285714286,33.0,-1.6714285714285713,33.0,-0.38785714285714284,33.0,-2.6065714285714283,33.0,-3.3524285714285713,33.0,-0.17871428571428574
34,-1.3539999999999999,34.0,-2.5684285714285715,34.0,-3.192857142857143,34.0,-1.471,34.0,-0.35285714285714287,34.0,-2.544571428571429,34.0,-3.348,34.0,-0.09985714285714287
35,-1.3424285714285715,35.0,-2.495571428571428,35.0,-3.192142857142857,35.0,-1.7228571428571429,35.0,-0.3312857142857143,35.0,-2.4667142857142856,35.0,-3.3414285714285716,35.0,-0.24499999999999997
36,-1.3334285714285714,36.0,-2.423714285714286,36.0,-3.193,36.0,-1.9222857142857142,36.0,-0.3244285714285714,36.0,-2.3898571428571427,36.0,-3.3392857142857144,36.0,-0.23257142857142857
37,-1.3115714285714286,37.0,-2.3127142857142857,37.0,-3.166714285714286,37.0,-1.8535714285714289,37.0,-0.29842857142857143,37.0,-2.259,37.0,-3.311857142857143,37.0,-0.208
38,-1.298,38.0,-2.246142857142857,38.0,-3.145285714285714,38.0,-2.278142857142857,38.0,-0.2725714285714286,38.0,-2.170142857142857,38.0,-3.2872857142857144,38.0,-0.4317142857142858
39,-1.2824285714285715,39.0,-2.172857142857143,39.0,-3.149,39.0,-1.830142857142857,39.0,-0.25014285714285717,39.0,-2.095142857142857,39.0,-3.297,39.0,-0.26199999999999996
40,-1.266,40.0,-2.0882857142857145,40.0,-3.1478571428571427,40.0,-1.8568571428571428,40.0,-0.22642857142857142,40.0,-1.9774285714285715,40.0,-3.2888571428571427,40.0,-0.32642857142857146
41,-1.251,41.0,-1.9969999999999999,41.0,-3.144714285714286,41.0,-2.0251428571428574,41.0,-0.1962857142857143,41.0,-1.856142857142857,41.0,-3.2881428571428573,41.0,-0.30785714285714283
42,-1.24,42.0,-1.9211428571428573,42.0,-3.126428571428572,42.0,-2.1082857142857145,42.0,-0.19385714285714287,42.0,-1.7274285714285715,42.0,-3.271857142857143,42.0,-0.5502857142857143
43,-1.221142857142857,43.0,-1.8334285714285714,43.0,-3.1182857142857143,43.0,-1.7798571428571428,43.0,-0.176,43.0,-1.6652857142857143,43.0,-3.2644285714285712,43.0,-0.30885714285714283
44,-1.2097142857142857,44.0,-1.765857142857143,44.0,-3.100714285714286,44.0,-2.1797142857142857,44.0,-0.15014285714285713,44.0,-1.4985714285714287,44.0,-3.2552857142857143,44.0,-0.6900000000000001
45,-1.1992857142857143,45.0,-1.6924285714285714,45.0,-3.071,45.0,-1.8288571428571427,45.0,-0.14242857142857143,45.0,-1.4277142857142857,45.0,-3.229428571428571,45.0,-0.2845714285714286
46,-1.1988571428571428,46.0,-1.6122857142857143,46.0,-3.0534285714285714,46.0,-2.0761428571428575,46.0,-0.136,46.0,-1.2748571428571427,46.0,-3.2134285714285715,46.0,-0.4895714285714286
47,-1.1885714285714286,47.0,-1.559,47.0,-3.0374285714285714,47.0,-1.7087142857142859,47.0,-0.11442857142857142,47.0,-1.1834285714285715,47.0,-3.1999999999999997,47.0,-0.45828571428571424
48,-1.1835714285714285,48.0,-1.4968571428571429,48.0,-3.0305714285714282,48.0,-1.7867142857142857,48.0,-0.09542857142857143,48.0,-1.0752857142857142,48.0,-3.1967142857142856,48.0,-0.31685714285714284
49,-1.1781428571428572,49.0,-1.4702857142857142,49.0,-3.007285714285714,49.0,-2.048,49.0,-0.096,49.0,-1.003,49.0,-3.1794285714285713,49.0,-0.6157142857142858
50,-1.1832857142857143,50.0,-1.4094285714285715,50.0,-2.964857142857143,50.0,-2.096714285714286,50.0,-0.08828571428571429,50.0,-0.931,50.0,-3.1535714285714285,50.0,-0.49457142857142855
51,-1.1764285714285714,51.0,-1.371142857142857,51.0,-2.9544285714285716,51.0,-2.0364285714285715,51.0,-0.08342857142857142,51.0,-0.8532857142857143,51.0,-3.1494285714285715,51.0,-0.7417142857142858
52,-1.1781428571428572,52.0,-1.3447142857142858,52.0,-2.914285714285714,52.0,-2.209,52.0,-0.07685714285714286,52.0,-0.771,52.0,-3.125,52.0,-0.6632857142857143
53,-1.1658571428571427,53.0,-1.3102857142857143,53.0,-2.884857142857143,53.0,-2.0611428571428574,53.0,-0.06114285714285713,53.0,-0.7262857142857142,53.0,-3.115285714285714,53.0,-0.6254285714285714
54,-1.17,54.0,-1.3119999999999998,54.0,-2.884,54.0,-2.023,54.0,-0.054,54.0,-0.6581428571428571,54.0,-3.1062857142857143,54.0,-0.647
