Hum SNR,score,WhiteNoise SNR,score.1,Clipping Percentage(%),score.2,Dropout Num,score.3,Hum SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage(%).1,score.6,Dropout Num.1,score.7
30,-1.366857142857143,30.0,-2.9097142857142857,30.0,-3.549571428571429,30.0,-2.4294285714285713,30.0,-1.1701428571428572,30.0,-3.4532857142857147,30.0,-3.735,30.0,-2.539142857142857
31,-1.3441428571428573,31.0,-2.807857142857143,31.0,-3.5581428571428573,31.0,-2.470428571428571,31.0,-1.1372857142857142,31.0,-3.398285714285714,31.0,-3.738285714285714,31.0,-2.6104285714285713
32,-1.3232857142857142,32.0,-2.742857142857143,32.0,-3.564285714285714,32.0,-2.5824285714285717,32.0,-1.1172857142857142,32.0,-3.373,32.0,-3.742714285714286,32.0,-2.7022857142857144
33,-1.2968571428571427,33.0,-2.668428571428571,33.0,-3.5785714285714287,33.0,-2.4202857142857144,33.0,-1.0662857142857143,33.0,-3.3177142857142856,33.0,-3.750285714285714,33.0,-2.553
34,-1.2838571428571428,34.0,-2.605571428571429,34.0,-3.5925714285714285,34.0,-2.4274285714285715,34.0,-0.9961428571428571,34.0,-3.264714285714286,34.0,-3.7537142857142856,34.0,-2.5429999999999997
35,-1.2787142857142857,35.0,-2.525571428571429,35.0,-3.597,35.0,-2.5182857142857142,35.0,-0.9747142857142858,35.0,-3.2115714285714287,35.0,-3.755571428571429,35.0,-2.7319999999999998
36,-1.2577142857142858,36.0,-2.439857142857143,36.0,-3.600142857142857,36.0,-2.5107142857142857,36.0,-0.952,36.0,-3.1652857142857145,36.0,-3.7561428571428572,36.0,-2.645285714285714
37,-1.2322857142857142,37.0,-2.3524285714285713,37.0,-3.6148571428571428,37.0,-2.6925714285714286,37.0,-0.8797142857142858,37.0,-3.1007142857142855,37.0,-3.761428571428571,37.0,-2.8288571428571427
38,-1.218142857142857,38.0,-2.2857142857142856,38.0,-3.628,38.0,-2.5018571428571432,38.0,-0.8757142857142857,38.0,-3.045142857142857,38.0,-3.7654285714285716,38.0,-2.628285714285714
39,-1.2017142857142855,39.0,-2.2074285714285713,39.0,-3.626142857142857,39.0,-2.737714285714286,39.0,-0.8292857142857143,39.0,-2.967714285714286,39.0,-3.768142857142857,39.0,-2.8985714285714286
40,-1.1727142857142856,40.0,-2.123,40.0,-3.6312857142857142,40.0,-2.627,40.0,-0.791,40.0,-2.906714285714286,40.0,-3.771142857142857,40.0,-2.862142857142857
41,-1.1627142857142856,41.0,-2.001142857142857,41.0,-3.639714285714286,41.0,-2.564571428571429,41.0,-0.7311428571428572,41.0,-2.8085714285714287,41.0,-3.7735714285714286,41.0,-2.831
42,-1.1528571428571428,42.0,-1.9484285714285714,42.0,-3.6418571428571425,42.0,-2.7008571428571426,42.0,-0.7471428571428571,42.0,-2.7464285714285714,42.0,-3.775,42.0,-2.8964285714285714
43,-1.132,43.0,-1.8777142857142857,43.0,-3.6475714285714287,43.0,-2.788,43.0,-0.7264285714285714,43.0,-2.645285714285714,43.0,-3.7777142857142856,43.0,-2.9945714285714287
44,-1.122,44.0,-1.7924285714285715,44.0,-3.6517142857142857,44.0,-2.7755714285714284,44.0,-0.6724285714285714,44.0,-2.5371428571428574,44.0,-3.7797142857142854,44.0,-2.9690000000000003
45,-1.110142857142857,45.0,-1.7188571428571429,45.0,-3.6512857142857142,45.0,-2.498857142857143,45.0,-0.6531428571428571,45.0,-2.4564285714285714,45.0,-3.7818571428571426,45.0,-2.732428571428571
46,-1.113,46.0,-1.6614285714285713,46.0,-3.6568571428571426,46.0,-2.6759999999999997,46.0,-0.6535714285714286,46.0,-2.346285714285714,46.0,-3.784,46.0,-2.9375714285714287
47,-1.1119999999999999,47.0,-1.5874285714285714,47.0,-3.6604285714285716,47.0,-2.557142857142857,47.0,-0.6111428571428571,47.0,-2.262571428571429,47.0,-3.7857142857142856,47.0,-2.805285714285714
48,-1.0895714285714286,48.0,-1.5459999999999998,48.0,-3.665857142857143,48.0,-2.5838571428571426,48.0,-0.5798571428571428,48.0,-2.1494285714285715,48.0,-3.788,48.0,-2.8715714285714284
49,-1.0955714285714284,49.0,-1.4615714285714285,49.0,-3.662,49.0,-2.645142857142857,49.0,-0.5757142857142857,49.0,-2.035,49.0,-3.787,49.0,-2.940714285714286
50,-1.1075714285714287,50.0,-1.413714285714286,50.0,-3.6691428571428575,50.0,-2.7017142857142855,50.0,-0.5708571428571428,50.0,-1.9375714285714287,50.0,-3.790142857142857,50.0,-2.985285714285714
51,-1.092857142857143,51.0,-1.3671428571428572,51.0,-3.665714285714286,51.0,-2.556285714285714,51.0,-0.5507142857142857,51.0,-1.8325714285714285,51.0,-3.789142857142857,51.0,-2.8607142857142853
52,-1.1039999999999999,52.0,-1.3084285714285713,52.0,-3.671285714285714,52.0,-2.73,52.0,-0.5628571428571428,52.0,-1.7425714285714287,52.0,-3.7920000000000003,52.0,-2.9987142857142857
53,-1.0927142857142857,53.0,-1.2852857142857144,53.0,-3.670428571428572,53.0,-2.730285714285714,53.0,-0.5198571428571428,53.0,-1.6972857142857143,53.0,-3.7904285714285715,53.0,-3.0234285714285716
54,-1.0938571428571429,54.0,-1.2544285714285714,54.0,-3.670142857142857,54.0,-2.7887142857142857,54.0,-0.5228571428571429,54.0,-1.5555714285714284,54.0,-3.791571428571429,54.0,-3.0532857142857144
55,-1.0891428571428572,55.0,-1.1947142857142856,55.0,-3.670142857142857,55.0,-2.745,55.0,-0.4807142857142857,55.0,-1.5021428571428572,55.0,-3.7914285714285714,55.0,-2.9771428571428573
56,-1.0915714285714286,56.0,-1.1934285714285713,56.0,-3.6688571428571426,56.0,-2.6747142857142854,56.0,-0.48457142857142854,56.0,-1.4689999999999999,56.0,-3.791571428571429,56.0,-2.8792857142857144
57,-1.087,57.0,-1.1549999999999998,57.0,-3.6724285714285716,57.0,-2.744142857142857,57.0,-0.4824285714285714,57.0,-1.3671428571428572,57.0,-3.7944285714285715,57.0,-3.020285714285714
58,-1.0864285714285713,58.0,-1.129857142857143,58.0,-3.6744285714285714,58.0,-2.6964285714285716,58.0,-0.45814285714285713,58.0,-1.2624285714285715,58.0,-3.7938571428571426,58.0,-2.898
59,-1.0807142857142857,59.0,-1.1184285714285715,59.0,-3.675142857142857,59.0,-2.6990000000000003,59.0,-0.4401428571428571,59.0,-1.1875714285714287,59.0,-3.7947142857142855,59.0,-2.9810000000000003
60,-1.0858571428571429,60.0,-1.1212857142857142,60.0,-3.6807142857142856,60.0,-2.763142857142857,60.0,-0.4358571428571429,60.0,-1.1257142857142857,60.0,-3.7967142857142853,60.0,-3.068714285714286
61,-1.0884285714285713,61.0,-1.1245714285714286,61.0,-3.678142857142857,61.0,-2.624142857142857,61.0,-0.41571428571428576,61.0,-1.0530000000000002,61.0,-3.797571428571428,61.0,-2.9161428571428574
62,-1.0907142857142857,62.0,-1.0954285714285714,62.0,-3.678857142857143,62.0,-2.5195714285714286,62.0,-0.41957142857142854,62.0,-1.0015714285714286,62.0,-3.797,62.0,-2.821142857142857
63,-1.0898571428571429,63.0,-1.0855714285714286,63.0,-3.681142857142857,63.0,-2.764714285714286,63.0,-0.4044285714285714,63.0,-0.9232857142857143,63.0,-3.7991428571428574,63.0,-3.032571428571429
64,-1.0791428571428572,64.0,-1.096142857142857,64.0,-3.6832857142857143,64.0,-2.694571428571429,64.0,-0.391,64.0,-0.8327142857142859,64.0,-3.7997142857142854,64.0,-2.937857142857143
65,-1.0851428571428572,65.0,-1.0798571428571428,65.0,-3.682142857142857,65.0,-2.7745714285714285,65.0,-0.367,65.0,-0.858,65.0,-3.7994285714285714,65.0,-3.014
66,-1.0851428571428572,66.0,-1.0722857142857143,66.0,-3.677571428571429,66.0,-2.77,66.0,-0.38757142857142857,66.0,-0.7298571428571429,66.0,-3.7982857142857145,66.0,-3.076285714285714
67,-1.0915714285714286,67.0,-1.093,67.0,-3.6768571428571426,67.0,-2.75,67.0,-0.3737142857142857,67.0,-0.7244285714285714,67.0,-3.7982857142857145,67.0,-3.030857142857143
68,-1.0772857142857144,68.0,-1.0762857142857143,68.0,-3.6794285714285713,68.0,-2.7782857142857145,68.0,-0.32342857142857145,68.0,-0.6980000000000001,68.0,-3.8004285714285717,68.0,-3.0825714285714283
69,-1.0938571428571429,69.0,-1.076,69.0,-3.6838571428571427,69.0,-2.814857142857143,69.0,-0.337,69.0,-0.652142857142857,69.0,-3.8004285714285717,69.0,-3.111285714285714
70,-1.0917142857142859,70.0,-1.0811428571428572,70.0,-3.6814285714285715,70.0,-2.810714285714286,70.0,-0.30414285714285716,70.0,-0.5941428571428571,70.0,-3.799857142857143,70.0,-3.1421428571428573
71,-1.0877142857142859,71.0,-1.0874285714285714,71.0,-3.680142857142857,71.0,-2.838142857142857,71.0,-0.3298571428571429,71.0,-0.5802857142857143,71.0,-3.8005714285714283,71.0,-3.1284285714285716
72,-1.0884285714285713,72.0,-1.0764285714285715,72.0,-3.6768571428571426,72.0,-2.729,72.0,-0.3415714285714286,72.0,-0.5245714285714286,72.0,-3.7974285714285716,72.0,-3.055428571428571
73,-1.0757142857142858,73.0,-1.0912857142857144,73.0,-3.676714285714286,73.0,-2.8222857142857145,73.0,-0.3485714285714286,73.0,-0.47842857142857137,73.0,-3.7997142857142854,73.0,-3.074857142857143
