Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
50,-1.6823,50,-1.6689,50,-3.1577,50,-1.9926,50,-1.2309,50,-1.585,50,-3.1733,50,-1.8867
51,-1.7055,51,-1.6299,51,-3.1679,51,-2.0416,51,-1.2338,51,-1.5536,51,-3.1814,51,-2.0035
52,-1.7206,52,-1.6684,52,-3.1644,52,-2.0987,52,-1.113,52,-1.5068,52,-3.1803,52,-2.1542
53,-1.6576,53,-1.6625,53,-3.175,53,-1.9683,53,-1.0604,53,-1.4619,53,-3.2015,53,-2.0905
54,-1.6769,54,-1.5523,54,-3.1756,54,-2.1352,54,-1.0535,54,-1.4261,54,-3.1914,54,-1.9617
55,-1.6378,55,-1.6163,55,-3.1922,55,-1.9803,55,-1.0779,55,-1.2961,55,-3.1961,55,-2.0569
56,-1.6205,56,-1.5827,56,-3.1898,56,-1.964,56,-1.2529,56,-1.486,56,-3.2031,56,-1.9091
57,-1.5929,57,-1.5921,57,-3.1935,57,-1.8915,57,-1.1909,57,-1.297,57,-3.198,57,-1.7805
58,-1.6628,58,-1.6109,58,-3.1871,58,-2.1619,58,-1.256,58,-1.1977,58,-3.2053,58,-1.971
59,-1.6153,59,-1.6423,59,-3.1971,59,-1.9917,59,-1.1142,59,-1.3776,59,-3.2076,59,-1.9933
60,-1.5451,60,-1.6102,60,-3.2052,60,-2.1277,60,-1.0695,60,-1.2762,60,-3.2118,60,-2.2126
61,-1.6034,61,-1.6308,61,-3.2115,61,-2.1573,61,-1.0959,61,-1.3621,61,-3.2147,61,-2.1163
62,-1.6281,62,-1.5985,62,-3.2309,62,-2.104,62,-1.1206,62,-1.2884,62,-3.2226,62,-2.2265
63,-1.6269,63,-1.5504,63,-3.2228,63,-1.9299,63,-0.92297,63,-1.3523,63,-3.2271,63,-2.0735
64,-1.6347,64,-1.533,64,-3.2248,64,-1.9347,64,-1.1391,64,-1.1447,64,-3.2275,64,-1.924
65,-1.6601,65,-1.5376,65,-3.226,65,-2.16,65,-1.1314,65,-1.178,65,-3.2316,65,-2.1689
66,-1.5894,66,-1.5987,66,-3.2206,66,-2.0929,66,-1.067,66,-1.0667,66,-3.2233,66,-2.2056
67,-1.6984,67,-1.5636,67,-3.2285,67,-2.276,67,-1.119,67,-1.0744,67,-3.2389,67,-2.3888
68,-1.5448,68,-1.5166,68,-3.2364,68,-2.1358,68,-0.8119,68,-1.2692,68,-3.2384,68,-2.1552
69,-1.6182,69,-1.5456,69,-3.2329,69,-2.204,69,-0.85462,69,-1.2376,69,-3.247,69,-2.3232
70,-1.542,70,-1.5704,70,-3.242,70,-2.2216,70,-0.87207,70,-1.267,70,-3.2412,70,-2.1746
71,-1.6364,71,-1.5898,71,-3.2451,71,-2.217,71,-0.99422,71,-1.1456,71,-3.2397,71,-2.271
72,-1.5828,72,-1.5991,72,-3.2484,72,-2.2179,72,-0.98382,72,-1.2166,72,-3.2395,72,-2.326
73,-1.6747,73,-1.5787,73,-3.2493,73,-2.1114,73,-0.89831,73,-1.052,73,-3.2506,73,-2.0553
74,-1.6183,74,-1.5733,74,-3.2472,74,-2.3223,74,-0.84965,74,-1.1134,74,-3.2552,74,-2.2785
75,-1.6196,75,-1.5935,75,-3.249,75,-2.4215,75,-0.93183,75,-1.247,75,-3.2539,75,-2.3787
76,-1.6295,76,-1.5979,76,-3.2499,76,-2.2291,76,-0.81801,76,-0.77057,76,-3.2511,76,-2.2962
77,-1.6139,77,-1.5693,77,-3.258,77,-2.3163,77,-0.93077,77,-0.94843,77,-3.2609,77,-2.35
78,-1.5827,78,-1.6218,78,-3.2612,78,-2.1959,78,-0.93948,78,-1.043,78,-3.2634,78,-2.1422
79,-1.6136,79,-1.6182,79,-3.2553,79,-2.1694,79,-0.86133,79,-1.0963,79,-3.2584,79,-2.3398
80,-1.6404,80,-1.6206,80,-3.2673,80,-2.2403,80,-0.82509,80,-0.96079,80,-3.2693,80,-2.2169
81,-1.5357,81,-1.7108,81,-3.2706,81,-2.1509,81,-0.73585,81,-0.87887,81,-3.2642,81,-2.1888
82,-1.6263,82,-1.6282,82,-3.2797,82,-2.2228,82,-0.93965,82,-1.0051,82,-3.2708,82,-2.2965
83,-1.6289,83,-1.6619,83,-3.2742,83,-2.1505,83,-0.84036,83,-1.0881,83,-3.2679,83,-2.2841
84,-1.5458,84,-1.5784,84,-3.2743,84,-2.2659,84,-0.92897,84,-1.1802,84,-3.2673,84,-2.2177
