HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
65,0.88,65,0.88,65,0.24,65,0.66,65,0.97,65,0.92,65,0.24,65,0.68
66,0.88,66,0.88,66,0.24,66,0.63,66,0.97,66,0.93,66,0.24,66,0.65
67,0.88,67,0.88,67,0.24,67,0.68,67,0.97,67,0.92,67,0.24,67,0.69
68,0.88,68,0.88,68,0.24,68,0.62,68,0.97,68,0.93,68,0.23,68,0.63
69,0.87,69,0.88,69,0.23,69,0.65,69,0.97,69,0.94,69,0.23,69,0.66
70,0.88,70,0.88,70,0.23,70,0.61,70,0.98,70,0.94,70,0.23,70,0.63
71,0.88,71,0.88,71,0.23,71,0.62,71,0.98,71,0.95,71,0.23,71,0.63
72,0.88,72,0.88,72,0.23,72,0.61,72,0.98,72,0.95,72,0.23,72,0.63
73,0.88,73,0.88,73,0.23,73,0.63,73,0.98,73,0.95,73,0.23,73,0.64
74,0.88,74,0.88,74,0.23,74,0.64,74,0.98,74,0.95,74,0.23,74,0.65
75,0.88,75,0.88,75,0.23,75,0.58,75,0.98,75,0.95,75,0.23,75,0.59
76,0.88,76,0.87,76,0.23,76,0.63,76,0.98,76,0.97,76,0.23,76,0.64
77,0.88,77,0.88,77,0.23,77,0.64,77,0.98,77,0.96,77,0.23,77,0.65
78,0.88,78,0.88,78,0.23,78,0.61,78,0.98,78,0.96,78,0.23,78,0.62
79,0.88,79,0.88,79,0.22,79,0.59,79,0.98,79,0.95,79,0.22,79,0.6
80,0.88,80,0.88,80,0.22,80,0.66,80,0.98,80,0.97,80,0.22,80,0.68
81,0.88,81,0.88,81,0.22,81,0.67,81,0.98,81,0.97,81,0.22,81,0.68
82,0.88,82,0.87,82,0.22,82,0.61,82,0.98,82,0.97,82,0.22,82,0.63
83,0.88,83,0.88,83,0.22,83,0.59,83,0.98,83,0.97,83,0.22,83,0.6
84,0.88,84,0.88,84,0.22,84,0.6,84,0.98,84,0.97,84,0.22,84,0.61
85,0.88,85,0.88,85,0.22,85,0.59,85,0.97,85,0.97,85,0.22,85,0.61
86,0.87,86,0.88,86,0.22,86,0.61,86,0.98,86,0.97,86,0.22,86,0.62
87,0.88,87,0.88,87,0.22,87,0.58,87,0.97,87,0.97,87,0.22,87,0.59
88,0.88,88,0.88,88,0.22,88,0.62,88,0.98,88,0.97,88,0.22,88,0.63
89,0.87,89,0.88,89,0.22,89,0.63,89,0.98,89,0.98,89,0.22,89,0.64
90,0.88,90,0.88,90,0.22,90,0.6,90,0.98,90,0.97,90,0.22,90,0.62
91,0.88,91,0.88,91,0.22,91,0.56,91,0.98,91,0.98,91,0.22,91,0.58
92,0.88,92,0.88,92,0.22,92,0.59,92,0.98,92,0.98,92,0.22,92,0.6
93,0.88,93,0.88,93,0.22,93,0.58,93,0.98,93,0.98,93,0.22,93,0.58
94,0.88,94,0.88,94,0.21,94,0.62,94,0.98,94,0.98,94,0.22,94,0.63
95,0.88,95,0.88,95,0.21,95,0.58,95,0.98,95,0.98,95,0.22,95,0.59
96,0.88,96,0.88,96,0.21,96,0.55,96,0.98,96,0.98,96,0.21,96,0.56
97,0.88,97,0.88,97,0.21,97,0.58,97,0.98,97,0.98,97,0.21,97,0.59
98,0.88,98,0.88,98,0.21,98,0.58,98,0.98,98,0.98,98,0.21,98,0.59
99,0.88,99,0.88,99,0.21,99,0.59,99,0.98,99,0.99,99,0.21,99,0.6
