Hum SNR,score,WhiteNoise SNR,score.1,Clipping Percentage,score.2,Dropout Num,score.3,Hum SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage.1,score.6,Dropout Num.1,score.7
58,-1.23165,58.0,-1.3094866666666667,58.0,-3.1781583333333336,58.0,-2.2562166666666665,58.0,-0.49119833333333335,58.0,-0.8081566666666666,58.0,-3.181925,58.0,-2.143266666666667
59,-1.2530975,59.0,-1.3034458333333332,59.0,-3.1829750000000003,59.0,-2.2597416666666668,59.0,-0.4849225,59.0,-0.8001783333333332,59.0,-3.1871500000000004,59.0,-2.0298083333333334
60,-1.2543516666666668,60.0,-1.2465533333333334,60.0,-3.187925,60.0,-2.301391666666667,60.0,-0.47365083333333335,60.0,-0.7733133333333333,60.0,-3.1886500000000004,60.0,-2.117191666666667
61,-1.2326866666666667,61.0,-1.2480516666666668,61.0,-3.1962833333333336,61.0,-2.2822583333333335,61.0,-0.46662333333333333,61.0,-0.7625633333333334,61.0,-3.1968083333333333,61.0,-2.153075
62,-1.2291075,62.0,-1.2656741666666667,62.0,-3.198366666666667,62.0,-2.2628083333333335,62.0,-0.4546733333333333,62.0,-0.7249091666666666,62.0,-3.2005166666666667,62.0,-2.0832416666666664
63,-1.2602933333333333,63.0,-1.2174608333333332,63.0,-3.2005583333333334,63.0,-2.323233333333333,63.0,-0.42659833333333336,63.0,-0.7063891666666667,63.0,-3.2035583333333335,63.0,-2.19185
64,-1.2354016666666667,64.0,-1.2571191666666666,64.0,-3.210025,64.0,-2.3878416666666666,64.0,-0.4718466666666667,64.0,-0.6920625,64.0,-3.208066666666667,64.0,-2.2334666666666667
65,-1.2666425,65.0,-1.2764658333333332,65.0,-3.2120916666666663,65.0,-2.3936916666666668,65.0,-0.43608583333333334,65.0,-0.6991283333333334,65.0,-3.2116583333333337,65.0,-2.2346083333333335
66,-1.2442591666666667,66.0,-1.2484825,66.0,-3.2095083333333334,66.0,-2.4064333333333336,66.0,-0.4498166666666667,66.0,-0.6360291666666666,66.0,-3.2107166666666664,66.0,-2.2668
67,-1.2545466666666665,67.0,-1.2473791666666667,67.0,-3.2148583333333334,67.0,-2.4125166666666664,67.0,-0.44306416666666665,67.0,-0.6358308333333333,67.0,-3.2161500000000003,67.0,-2.2611416666666666
68,-1.2223249999999999,68.0,-1.2763366666666667,68.0,-3.2220416666666662,68.0,-2.3438416666666666,68.0,-0.4056233333333333,68.0,-0.6177525,68.0,-3.220808333333333,68.0,-2.1931666666666665
69,-1.2520575,69.0,-1.2746575,69.0,-3.2237666666666667,69.0,-2.4186833333333335,69.0,-0.41243500000000005,69.0,-0.5813483333333334,69.0,-3.2255249999999998,69.0,-2.298
70,-1.2296466666666668,70.0,-1.2425258333333333,70.0,-3.2249666666666665,70.0,-2.454475,70.0,-0.41086833333333334,70.0,-0.5769258333333334,70.0,-3.2261166666666665,70.0,-2.330058333333333
71,-1.2455566666666666,71.0,-1.2509608333333333,71.0,-3.2292083333333337,71.0,-2.4347083333333335,71.0,-0.4038175,71.0,-0.5264666666666666,71.0,-3.2288416666666664,71.0,-2.3176
72,-1.2422183333333334,72.0,-1.2317500000000001,72.0,-3.2321500000000003,72.0,-2.4011333333333336,72.0,-0.41001,72.0,-0.5408216666666666,72.0,-3.233658333333333,72.0,-2.286166666666667
73,-1.2479341666666668,73.0,-1.2489325,73.0,-3.2365999999999997,73.0,-2.4834666666666667,73.0,-0.4006775,73.0,-0.552855,73.0,-3.2348166666666667,73.0,-2.330575
74,-1.2446816666666667,74.0,-1.2392991666666666,74.0,-3.2378,74.0,-2.3949416666666665,74.0,-0.40397833333333333,74.0,-0.4936841666666667,74.0,-3.2380666666666666,74.0,-2.3036583333333334
75,-1.2326,75.0,-1.2417791666666667,75.0,-3.24235,75.0,-2.4276833333333334,75.0,-0.3911341666666667,75.0,-0.5155783333333334,75.0,-3.244125,75.0,-2.2852083333333333
76,-1.2504866666666665,76.0,-1.2324683333333333,76.0,-3.242741666666667,76.0,-2.419575,76.0,-0.37567750000000005,76.0,-0.4742458333333333,76.0,-3.243233333333333,76.0,-2.257233333333333
77,-1.23086,77.0,-1.2447408333333334,77.0,-3.2478833333333337,77.0,-2.393625,77.0,-0.387845,77.0,-0.458885,77.0,-3.2504916666666666,77.0,-2.3102416666666667
78,-1.2374033333333332,78.0,-1.2275191666666667,78.0,-3.251791666666667,78.0,-2.427775,78.0,-0.3909475,78.0,-0.4337583333333333,78.0,-3.255891666666667,78.0,-2.3133166666666667
79,-1.2426741666666665,79.0,-1.2374666666666667,79.0,-3.254966666666667,79.0,-2.4877833333333332,79.0,-0.37021,79.0,-0.4436825,79.0,-3.2564583333333332,79.0,-2.3933750000000003
