HumNoise SNR,score,WhiteNoise SNR,score.1,Clipping Percentage(%),score.2,Dropout Num,score.3,HumNoise SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage(%).1,score.6,Dropout Num.1,score.7
11,0.7008333333333333,11.0,0.3875,11.0,0.5741666666666666,11.0,0.82,11.0,0.7058333333333334,11.0,0.37833333333333335,11.0,0.5516666666666666,11.0,0.9166666666666666
12,0.7125,12.0,0.41,12.0,0.5583333333333333,12.0,0.8183333333333334,12.0,0.725,12.0,0.4008333333333333,12.0,0.5366666666666667,12.0,0.9116666666666666
13,0.725,13.0,0.43166666666666664,13.0,0.545,13.0,0.8158333333333333,13.0,0.7391666666666667,13.0,0.42,13.0,0.5233333333333333,13.0,0.9108333333333333
14,0.7358333333333333,14.0,0.45166666666666666,14.0,0.5333333333333333,14.0,0.8175,14.0,0.7558333333333334,14.0,0.43916666666666665,14.0,0.5116666666666666,14.0,0.9058333333333334
15,0.7441666666666666,15.0,0.4766666666666666,15.0,0.5175,15.0,0.8075,15.0,0.7683333333333334,15.0,0.46166666666666667,15.0,0.5,15.0,0.8925000000000001
16,0.7558333333333334,16.0,0.5,16.0,0.5091666666666667,16.0,0.8066666666666666,16.0,0.7825000000000001,16.0,0.4808333333333334,16.0,0.48833333333333334,16.0,0.8925000000000001
17,0.7658333333333333,17.0,0.5283333333333333,17.0,0.49583333333333335,17.0,0.8024999999999999,17.0,0.7958333333333334,17.0,0.5066666666666667,17.0,0.4766666666666666,17.0,0.8866666666666667
18,0.7741666666666666,18.0,0.5525,18.0,0.48500000000000004,18.0,0.7999999999999999,18.0,0.8075,18.0,0.5291666666666667,18.0,0.4666666666666666,18.0,0.8816666666666667
19,0.7841666666666667,19.0,0.5808333333333333,19.0,0.4741666666666666,19.0,0.8041666666666667,19.0,0.82,19.0,0.5533333333333333,19.0,0.45416666666666666,19.0,0.8825
20,0.7916666666666666,20.0,0.6,20.0,0.46416666666666667,20.0,0.8016666666666666,20.0,0.8308333333333334,20.0,0.5683333333333334,20.0,0.4458333333333333,20.0,0.8775
21,0.7991666666666667,21.0,0.63,21.0,0.45416666666666666,21.0,0.7983333333333333,21.0,0.8391666666666667,21.0,0.595,21.0,0.44,21.0,0.8775
22,0.8033333333333333,22.0,0.6508333333333333,22.0,0.4475,22.0,0.7983333333333333,22.0,0.85,22.0,0.6141666666666666,22.0,0.43,22.0,0.87
23,0.8083333333333332,23.0,0.6725,23.0,0.4366666666666667,23.0,0.7908333333333334,23.0,0.8574999999999999,23.0,0.6333333333333334,23.0,0.42166666666666663,23.0,0.8616666666666667
24,0.815,24.0,0.695,24.0,0.43,24.0,0.7949999999999999,24.0,0.8683333333333333,24.0,0.6533333333333333,24.0,0.41333333333333333,24.0,0.8641666666666666
25,0.8183333333333334,25.0,0.7166666666666667,25.0,0.42,25.0,0.7883333333333334,25.0,0.8725,25.0,0.6766666666666666,25.0,0.4075,25.0,0.8574999999999999
26,0.8208333333333333,26.0,0.7341666666666667,26.0,0.4116666666666666,26.0,0.7949999999999999,26.0,0.8816666666666667,26.0,0.6925,26.0,0.39916666666666667,26.0,0.8666666666666667
27,0.8233333333333334,27.0,0.75,27.0,0.405,27.0,0.7933333333333333,27.0,0.8833333333333333,27.0,0.71,27.0,0.39083333333333337,27.0,0.86
28,0.8283333333333333,28.0,0.7625000000000001,28.0,0.39916666666666667,28.0,0.7941666666666666,28.0,0.8875000000000001,28.0,0.7225,28.0,0.3858333333333333,28.0,0.86
29,0.8291666666666666,29.0,0.775,29.0,0.39166666666666666,29.0,0.7875,29.0,0.8925000000000001,29.0,0.7358333333333333,29.0,0.37833333333333335,29.0,0.85
30,0.8308333333333334,30.0,0.79,30.0,0.3841666666666667,30.0,0.7875,30.0,0.8958333333333334,30.0,0.7516666666666666,30.0,0.3725,30.0,0.8516666666666667
31,0.8308333333333334,31.0,0.7975,31.0,0.3775,31.0,0.7808333333333334,31.0,0.8983333333333334,31.0,0.7608333333333334,31.0,0.3666666666666667,31.0,0.8458333333333333
32,0.8325,32.0,0.8075,32.0,0.37083333333333335,32.0,0.7741666666666668,32.0,0.9016666666666667,32.0,0.7716666666666666,32.0,0.35916666666666663,32.0,0.8325
33,0.8341666666666666,33.0,0.8141666666666666,33.0,0.3675,33.0,0.7833333333333333,33.0,0.9049999999999999,33.0,0.7799999999999999,33.0,0.3575,33.0,0.8408333333333333
34,0.8341666666666666,34.0,0.8208333333333333,34.0,0.36000000000000004,34.0,0.7799999999999999,34.0,0.9066666666666667,34.0,0.7875000000000001,34.0,0.35083333333333333,34.0,0.8366666666666666
35,0.8366666666666666,35.0,0.8258333333333333,35.0,0.355,35.0,0.7825000000000001,35.0,0.9125000000000001,35.0,0.795,35.0,0.3458333333333334,35.0,0.8441666666666667
36,0.8391666666666667,36.0,0.83,36.0,0.35000000000000003,36.0,0.7766666666666667,36.0,0.9125,36.0,0.8075,36.0,0.3408333333333333,36.0,0.8316666666666667
37,0.8383333333333334,37.0,0.8325,37.0,0.3441666666666667,37.0,0.7758333333333334,37.0,0.915,37.0,0.8091666666666667,37.0,0.3358333333333334,37.0,0.8316666666666667
38,0.8383333333333334,38.0,0.8341666666666666,38.0,0.33916666666666667,38.0,0.7816666666666667,38.0,0.9175,38.0,0.8166666666666668,38.0,0.3325,38.0,0.8358333333333333
39,0.8391666666666667,39.0,0.8358333333333333,39.0,0.33499999999999996,39.0,0.7725,39.0,0.92,39.0,0.8216666666666667,39.0,0.3283333333333333,39.0,0.8241666666666667
40,0.84,40.0,0.8375,40.0,0.33,40.0,0.7708333333333334,40.0,0.9191666666666666,40.0,0.8266666666666667,40.0,0.325,40.0,0.8208333333333333
41,0.8391666666666667,41.0,0.84,41.0,0.3275,41.0,0.7716666666666666,41.0,0.9216666666666667,41.0,0.8291666666666666,41.0,0.32,41.0,0.82
42,0.84,42.0,0.8391666666666667,42.0,0.3225,42.0,0.7725,42.0,0.9233333333333333,42.0,0.8325,42.0,0.31666666666666665,42.0,0.8183333333333334
43,0.8391666666666667,43.0,0.84,43.0,0.31916666666666665,43.0,0.7658333333333333,43.0,0.9233333333333333,43.0,0.835,43.0,0.3116666666666667,43.0,0.8116666666666666
44,0.84,44.0,0.8391666666666667,44.0,0.315,44.0,0.7683333333333334,44.0,0.9275000000000001,44.0,0.84,44.0,0.30833333333333335,44.0,0.8175
45,0.84,45.0,0.8391666666666667,45.0,0.3116666666666667,45.0,0.7741666666666668,45.0,0.9283333333333333,45.0,0.8450000000000001,45.0,0.3066666666666667,45.0,0.8183333333333334
46,0.84,46.0,0.8424999999999999,46.0,0.3066666666666667,46.0,0.77,46.0,0.9283333333333333,46.0,0.8516666666666667,46.0,0.3016666666666667,46.0,0.82
47,0.8408333333333333,47.0,0.8424999999999999,47.0,0.305,47.0,0.7600000000000001,47.0,0.9316666666666666,47.0,0.85,47.0,0.29833333333333334,47.0,0.8075
48,0.8408333333333333,48.0,0.84,48.0,0.3,48.0,0.7483333333333334,48.0,0.9341666666666666,48.0,0.8558333333333333,48.0,0.29583333333333334,48.0,0.7933333333333333
