HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
65,0.87,65,0.87,65,0.24,65,0.63,65,0.97,65,0.92,65,0.24,65,0.64
66,0.87,66,0.87,66,0.24,66,0.63,66,0.96,66,0.93,66,0.24,66,0.64
67,0.87,67,0.87,67,0.24,67,0.63,67,0.96,67,0.93,67,0.24,67,0.65
68,0.87,68,0.87,68,0.24,68,0.62,68,0.97,68,0.93,68,0.23,68,0.63
69,0.87,69,0.87,69,0.24,69,0.59,69,0.96,69,0.94,69,0.23,69,0.59
70,0.87,70,0.87,70,0.23,70,0.63,70,0.97,70,0.93,70,0.23,70,0.65
71,0.87,71,0.87,71,0.23,71,0.62,71,0.96,71,0.94,71,0.23,71,0.62
72,0.87,72,0.87,72,0.23,72,0.61,72,0.97,72,0.94,72,0.23,72,0.62
73,0.87,73,0.87,73,0.23,73,0.56,73,0.97,73,0.95,73,0.23,73,0.57
74,0.87,74,0.87,74,0.23,74,0.65,74,0.97,74,0.95,74,0.23,74,0.67
75,0.87,75,0.87,75,0.23,75,0.6,75,0.97,75,0.96,75,0.23,75,0.61
76,0.87,76,0.87,76,0.23,76,0.54,76,0.97,76,0.96,76,0.23,76,0.55
77,0.87,77,0.87,77,0.23,77,0.62,77,0.97,77,0.95,77,0.23,77,0.63
78,0.87,78,0.87,78,0.22,78,0.6,78,0.97,78,0.95,78,0.22,78,0.61
79,0.87,79,0.87,79,0.22,79,0.6,79,0.97,79,0.96,79,0.22,79,0.61
80,0.87,80,0.87,80,0.22,80,0.61,80,0.97,80,0.96,80,0.22,80,0.61
81,0.87,81,0.87,81,0.22,81,0.63,81,0.97,81,0.96,81,0.22,81,0.63
82,0.87,82,0.87,82,0.22,82,0.64,82,0.97,82,0.96,82,0.22,82,0.65
83,0.87,83,0.87,83,0.22,83,0.62,83,0.97,83,0.97,83,0.22,83,0.63
84,0.87,84,0.87,84,0.22,84,0.56,84,0.97,84,0.96,84,0.22,84,0.57
85,0.87,85,0.87,85,0.22,85,0.58,85,0.97,85,0.97,85,0.22,85,0.58
86,0.87,86,0.87,86,0.22,86,0.57,86,0.96,86,0.97,86,0.22,86,0.57
87,0.87,87,0.87,87,0.22,87,0.58,87,0.97,87,0.97,87,0.22,87,0.58
88,0.87,88,0.87,88,0.22,88,0.59,88,0.97,88,0.97,88,0.22,88,0.6
89,0.87,89,0.87,89,0.22,89,0.57,89,0.97,89,0.97,89,0.22,89,0.58
90,0.87,90,0.87,90,0.22,90,0.55,90,0.97,90,0.98,90,0.22,90,0.56
91,0.87,91,0.87,91,0.21,91,0.53,91,0.97,91,0.97,91,0.22,91,0.53
92,0.87,92,0.87,92,0.21,92,0.55,92,0.97,92,0.98,92,0.21,92,0.55
93,0.87,93,0.87,93,0.21,93,0.57,93,0.97,93,0.97,93,0.21,93,0.57
94,0.87,94,0.87,94,0.21,94,0.57,94,0.97,94,0.97,94,0.21,94,0.59
95,0.87,95,0.87,95,0.21,95,0.61,95,0.97,95,0.97,95,0.21,95,0.61
96,0.87,96,0.87,96,0.21,96,0.54,96,0.97,96,0.98,96,0.21,96,0.55
97,0.87,97,0.87,97,0.21,97,0.59,97,0.97,97,0.97,97,0.21,97,0.6
98,0.87,98,0.87,98,0.21,98,0.53,98,0.97,98,0.98,98,0.21,98,0.53
99,0.87,99,0.87,99,0.21,99,0.58,99,0.97,99,0.97,99,0.21,99,0.59
