Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
50,-1.2336,50,-1.2949,50,-3.0599,50,-1.6042,50,-0.47976,50,-1.0637,50,-3.067,50,-1.17
51,-1.2657,51,-1.4555,51,-3.0822,51,-1.935,51,-0.45399,51,-1.0156,51,-3.0857,51,-1.449
52,-1.1566,52,-1.2967,52,-3.0634,52,-2.0611,52,-0.53508,52,-0.94539,52,-3.074,52,-1.8936
53,-1.2804,53,-1.3742,53,-3.083,53,-1.9361,53,-0.49765,53,-0.89231,53,-3.0871,53,-1.345
54,-1.2046,54,-1.4006,54,-3.0994,54,-1.6532,54,-0.5161,54,-1.0654,54,-3.1058,54,-1.1044
55,-1.2537,55,-1.3144,55,-3.0925,55,-1.9281,55,-0.5873,55,-0.84769,55,-3.1021,55,-1.5
56,-1.284,56,-1.2713,56,-3.1129,56,-1.9168,56,-0.51959,56,-1.0477,56,-3.1255,56,-1.4648
57,-1.2421,57,-1.3175,57,-3.1021,57,-1.8729,57,-0.44184,57,-0.85352,57,-3.1094,57,-1.5691
58,-1.1532,58,-1.2096,58,-3.1075,58,-2.1357,58,-0.48125,58,-0.80386,58,-3.1111,58,-1.8698
59,-1.3148,59,-1.2343,59,-3.1082,59,-1.9727,59,-0.43009,59,-0.83202,59,-3.1306,59,-1.5908
60,-1.2266,60,-1.1971,60,-3.1103,60,-1.6704,60,-0.39349,60,-0.77205,60,-3.1122,60,-1.2965
61,-1.1675,61,-1.1729,61,-3.1295,61,-1.7135,61,-0.40162,61,-0.82106,61,-3.1392,61,-1.5994
62,-1.2125,62,-1.1913,62,-3.1308,62,-1.7198,62,-0.39126,62,-0.72709,62,-3.1313,62,-1.4275
63,-1.2285,63,-1.1577,63,-3.1274,63,-1.9622,63,-0.4057,63,-0.6727,63,-3.1379,63,-1.742
