Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
50,-0.73789,50,-2.1852,50,-3.2533,50,-2.9602,50,-0.36645,50,-2.2039,50,-3.2471,50,-2.9387
51,-0.73152,51,-1.9765,51,-3.2448,51,-2.8165,51,-0.31023,51,-2.0405,51,-3.252,51,-2.8393
52,-0.68478,52,-1.7906,52,-3.2608,52,-2.6647,52,-0.33595,52,-1.8517,52,-3.2636,52,-2.7541
53,-0.7218,53,-1.408,53,-3.2611,53,-3.0141,53,-0.33243,53,-1.5184,53,-3.2672,53,-3.0224
54,-0.78589,54,-1.1753,54,-3.2619,54,-3.0489,54,-0.37901,54,-1.4146,54,-3.2672,54,-3.0251
55,-0.74849,55,-1.0721,55,-3.258,55,-2.9999,55,-0.31967,55,-1.274,55,-3.2672,55,-2.9642
56,-0.70261,56,-1.0767,56,-3.2621,56,-3.0109,56,-0.34651,56,-1.1763,56,-3.2678,56,-2.9886
57,-0.67818,57,-1.0593,57,-3.2703,57,-3.0304,57,-0.35124,57,-1.2172,57,-3.2801,57,-2.9977
58,-0.73425,58,-0.88971,58,-3.2726,58,-2.8047,58,-0.32323,58,-1.0102,58,-3.2723,58,-2.8503
59,-0.71291,59,-0.89059,59,-3.2731,59,-3.066,59,-0.36851,59,-0.90241,59,-3.2759,59,-3.0524
60,-0.72751,60,-0.89013,60,-3.2679,60,-3.0608,60,-0.33957,60,-0.88712,60,-3.2796,60,-3.0208
61,-0.74957,61,-0.80796,61,-3.2742,61,-3.1653,61,-0.32374,61,-0.78172,61,-3.278,61,-3.1867
62,-0.68239,62,-0.7852,62,-3.2691,62,-3.0743,62,-0.32239,62,-0.8077,62,-3.2698,62,-3.0654
63,-0.71801,63,-0.82829,63,-3.271,63,-3.1322,63,-0.32235,63,-0.82364,63,-3.2762,63,-3.1127
64,-0.69905,64,-0.75303,64,-3.2799,64,-3.1011,64,-0.30119,64,-0.69746,64,-3.2824,64,-3.1027
65,-0.68383,65,-0.74102,65,-3.2818,65,-3.0012,65,-0.31923,65,-0.55164,65,-3.2782,65,-2.9909
66,-0.70332,66,-0.73912,66,-3.2822,66,-3.0831,66,-0.3491,66,-0.57775,66,-3.2842,66,-3.0732
67,-0.71672,67,-0.76155,67,-3.2827,67,-3.1344,67,-0.33344,67,-0.62026,67,-3.2859,67,-3.1386
68,-0.72147,68,-0.71515,68,-3.2817,68,-3.0633,68,-0.34498,68,-0.5508,68,-3.2835,68,-3.065
69,-0.74806,69,-0.72603,69,-3.2848,69,-3.1374,69,-0.28888,69,-0.59165,69,-3.2869,69,-3.1401
