Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
50,-1.0447,50,-1.188,50,-3.1235,50,-1.6627,50,-0.43024,50,-0.99438,50,-3.1273,50,-1.631
51,-1.0171,51,-1.2249,51,-3.1352,51,-2.161,51,-0.43515,51,-0.99394,51,-3.15,51,-2.0879
52,-1.0724,52,-1.1289,52,-3.1329,52,-1.8591,52,-0.39446,52,-0.9366,52,-3.1493,52,-1.7613
53,-1.034,53,-1.1527,53,-3.1452,53,-1.6708,53,-0.47975,53,-0.97772,53,-3.1392,53,-1.5272
54,-1.0339,54,-1.0924,54,-3.1497,54,-1.699,54,-0.45147,54,-0.88441,54,-3.1592,54,-1.7773
55,-1.0294,55,-1.0438,55,-3.1634,55,-1.9723,55,-0.45305,55,-0.84692,55,-3.1581,55,-1.9532
56,-1.0406,56,-1.0448,56,-3.1675,56,-1.879,56,-0.45049,56,-0.81733,56,-3.176,56,-1.8702
57,-1.032,57,-1.1028,57,-3.1639,57,-1.7439,57,-0.38948,57,-0.71448,57,-3.172,57,-1.6797
58,-1.0577,58,-1.0582,58,-3.1553,58,-2.0296,58,-0.39282,58,-0.78424,58,-3.1673,58,-2.1192
59,-1.0093,59,-1.0269,59,-3.1658,59,-1.8941,59,-0.43287,59,-0.73412,59,-3.1668,59,-1.7612
60,-1.0783,60,-0.99562,60,-3.1719,60,-1.9241,60,-0.41178,60,-0.79198,60,-3.1788,60,-1.6726
61,-1.0362,61,-1.0675,61,-3.173,61,-2.0175,61,-0.44134,61,-0.66176,61,-3.1847,61,-1.9353
62,-1.0572,62,-1.0339,62,-3.1816,62,-1.9804,62,-0.39915,62,-0.64967,62,-3.1788,62,-1.8984
63,-1.0692,63,-1.0331,63,-3.191,63,-2.1847,63,-0.35405,63,-0.64681,63,-3.1917,63,-2.0554
64,-1.0262,64,-1.0402,64,-3.1914,64,-2.0647,64,-0.4132,64,-0.65868,64,-3.1944,64,-1.8431
65,-1.0173,65,-1.1096,65,-3.1882,65,-2.1529,65,-0.385,65,-0.64607,65,-3.1968,65,-2.2929
66,-1.0264,66,-0.98908,66,-3.187,66,-2.0576,66,-0.33731,66,-0.62229,66,-3.1978,66,-2.0216
67,-1.0648,67,-1.0723,67,-3.1805,67,-2.0111,67,-0.4108,67,-0.61866,67,-3.1957,67,-1.9017
68,-1.0533,68,-0.99175,68,-3.1953,68,-2.2084,68,-0.327,68,-0.53562,68,-3.1991,68,-2.2583
69,-1.0347,69,-1.0072,69,-3.1922,69,-2.0876,69,-0.41956,69,-0.56028,69,-3.1963,69,-1.9914
70,-1.0216,70,-0.94484,70,-3.1985,70,-1.9807,70,-0.35784,70,-0.58261,70,-3.203,70,-2.0356
71,-0.99322,71,-0.94055,71,-3.1988,71,-2.0025,71,-0.35746,71,-0.48818,71,-3.1933,71,-1.8268
72,-1.0421,72,-0.99396,72,-3.2019,72,-2.3562,72,-0.40778,72,-0.55083,72,-3.2039,72,-2.3581
73,-1.047,73,-1.0662,73,-3.2046,73,-2.1826,73,-0.41375,73,-0.558,73,-3.2091,73,-2.1847
74,-1.022,74,-1.0105,74,-3.2087,74,-2.3113,74,-0.36338,74,-0.49443,74,-3.2134,74,-2.2743
75,-1.0477,75,-1.0452,75,-3.2185,75,-2.2686,75,-0.37014,75,-0.47305,75,-3.2215,75,-2.2473
76,-0.99241,76,-1.0485,76,-3.2161,76,-2.4463,76,-0.42485,76,-0.5242,76,-3.2236,76,-2.4319
77,-1.0232,77,-0.96648,77,-3.2205,77,-2.244,77,-0.35795,77,-0.48862,77,-3.2318,77,-2.2304
78,-1.0453,78,-1.0481,78,-3.2273,78,-2.1269,78,-0.3798,78,-0.42557,78,-3.2308,78,-2.1182
79,-1.0352,79,-1.0265,79,-3.2298,79,-1.7745,79,-0.34493,79,-0.39348,79,-3.2329,79,-1.7054
80,-1.007,80,-0.97444,80,-3.2348,80,-2.4268,80,-0.35131,80,-0.41277,80,-3.2384,80,-2.406
81,-1.0511,81,-0.99628,81,-3.2332,81,-2.064,81,-0.35212,81,-0.387,81,-3.2407,81,-2.1218
82,-1.0907,82,-1.0046,82,-3.2398,82,-2.2039,82,-0.32593,82,-0.37262,82,-3.2391,82,-2.1614
83,-1.0633,83,-1.0053,83,-3.2495,83,-2.079,83,-0.29402,83,-0.37436,83,-3.2541,83,-1.9913
84,-1.0203,84,-1.0232,84,-3.2528,84,-2.1163,84,-0.37168,84,-0.36808,84,-3.252,84,-2.0922
85,-1.0201,85,-1.0651,85,-3.2529,85,-2.3012,85,-0.37902,85,-0.38029,85,-3.2582,85,-2.2318
