Hum SNR,score,WhiteNoise SNR,score.1,Clipping Percentage(%),score.2,Dropout Num,score.3,Hum SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage(%).1,score.6,Dropout Num.1,score.7
20,-1.5967500000000001,20.0,-2.983833333333333,20.0,-3.122583333333333,20.0,-1.5163333333333335,20.0,-0.54025,20.0,-3.10525,20.0,-3.1865,20.0,0.05308333333333334
21,-1.5741666666666667,21.0,-2.92975,21.0,-3.10975,21.0,-1.7311666666666667,21.0,-0.5205000000000001,21.0,-3.072416666666667,21.0,-3.1839999999999997,21.0,0.024083333333333335
22,-1.5545,22.0,-2.871916666666667,22.0,-3.1195,22.0,-1.51575,22.0,-0.49974999999999997,22.0,-3.0102499999999996,22.0,-3.2070000000000003,22.0,0.07366666666666667
23,-1.5330833333333331,23.0,-2.7975833333333333,23.0,-3.1189999999999998,23.0,-1.7904166666666665,23.0,-0.4719166666666667,23.0,-2.935083333333333,23.0,-3.2144166666666667,23.0,-0.0011666666666666585
24,-1.5142499999999999,24.0,-2.734166666666667,24.0,-3.096833333333333,24.0,-1.8585,24.0,-0.455,24.0,-2.86975,24.0,-3.205916666666667,24.0,0.019083333333333338
25,-1.4889166666666667,25.0,-2.6886666666666668,25.0,-3.0984166666666666,25.0,-1.6679166666666667,25.0,-0.4234166666666666,25.0,-2.8074999999999997,25.0,-3.211,25.0,0.009666666666666665
26,-1.4753333333333334,26.0,-2.701416666666667,26.0,-3.1021666666666667,26.0,-1.67425,26.0,-0.41033333333333327,26.0,-2.815416666666667,26.0,-3.216583333333334,26.0,0.005249999999999999
27,-1.4594166666666668,27.0,-2.6978333333333335,27.0,-3.0945,27.0,-1.6828333333333336,27.0,-0.39925000000000005,27.0,-2.791166666666667,27.0,-3.2101666666666664,27.0,-0.029333333333333333
28,-1.4465833333333336,28.0,-2.6583333333333337,28.0,-3.0656666666666665,28.0,-1.7931666666666668,28.0,-0.3839166666666667,28.0,-2.747,28.0,-3.1971666666666665,28.0,-0.08141666666666666
29,-1.4455833333333334,29.0,-2.6685,29.0,-3.0493333333333332,29.0,-1.6708333333333334,29.0,-0.3649166666666666,29.0,-2.759916666666667,29.0,-3.187666666666667,29.0,-0.04566666666666667
