Hum SNR,score,WhiteNoise SNR,score.1,Clipping Percentage(%),score.2,Dropout Num,score.3,Hum SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage(%).1,score.6,Dropout Num.1,score.7
59,-1.1654166666666668,59.0,-1.1838333333333333,59.0,-3.7092500000000004,59.0,-2.8208333333333333,59.0,-0.4151666666666667,59.0,-1.2255,59.0,-3.807916666666667,59.0,-3.092916666666667
60,-1.1689999999999998,60.0,-1.1916666666666667,60.0,-3.7120833333333336,60.0,-2.7335,60.0,-0.39999999999999997,60.0,-1.1060833333333333,60.0,-3.8091666666666666,60.0,-3.0109166666666667
61,-1.1714166666666668,61.0,-1.1790833333333335,61.0,-3.7105,61.0,-2.7771666666666666,61.0,-0.3954166666666667,61.0,-1.0549166666666667,61.0,-3.8091666666666666,61.0,-3.0229999999999997
62,-1.173,62.0,-1.17375,62.0,-3.7116666666666664,62.0,-2.8770000000000002,62.0,-0.3915,62.0,-1.0024166666666667,62.0,-3.81,62.0,-3.1149166666666663
63,-1.16725,63.0,-1.1660833333333334,63.0,-3.7111666666666667,63.0,-2.7567500000000003,63.0,-0.3734166666666667,63.0,-0.9464166666666666,63.0,-3.8104999999999998,63.0,-3.05575
64,-1.1663333333333334,64.0,-1.1741666666666666,64.0,-3.7146666666666666,64.0,-2.827916666666667,64.0,-0.38491666666666663,64.0,-0.8697499999999999,64.0,-3.8120833333333333,64.0,-3.1341666666666668
65,-1.167,65.0,-1.1664166666666667,65.0,-3.7135833333333337,65.0,-2.8096666666666668,65.0,-0.34825,65.0,-0.84475,65.0,-3.812,65.0,-3.107583333333333
66,-1.1659166666666667,66.0,-1.1666666666666667,66.0,-3.7121666666666666,66.0,-2.8569166666666668,66.0,-0.36333333333333334,66.0,-0.80425,66.0,-3.811833333333333,66.0,-3.1344166666666666
67,-1.1660833333333334,67.0,-1.16225,67.0,-3.7124166666666665,67.0,-2.92325,67.0,-0.345,67.0,-0.7454166666666667,67.0,-3.8120833333333333,67.0,-3.2083333333333335
68,-1.1620000000000001,68.0,-1.1675833333333332,68.0,-3.7105833333333336,68.0,-2.8954166666666663,68.0,-0.3209166666666667,68.0,-0.6767500000000001,68.0,-3.812,68.0,-3.1814999999999998
69,-1.1709166666666666,69.0,-1.17075,69.0,-3.716666666666667,69.0,-2.878166666666667,69.0,-0.30775,69.0,-0.6471666666666667,69.0,-3.81275,69.0,-3.158666666666667
70,-1.1685,70.0,-1.1660833333333334,70.0,-3.7135,70.0,-2.8383333333333334,70.0,-0.29941666666666666,70.0,-0.6066666666666667,70.0,-3.8121666666666667,70.0,-3.1308333333333334
71,-1.1593333333333333,71.0,-1.1675,71.0,-3.7163333333333335,71.0,-2.8196666666666665,71.0,-0.30075,71.0,-0.5855833333333333,71.0,-3.814666666666667,71.0,-3.111333333333333
72,-1.1666666666666667,72.0,-1.1673333333333333,72.0,-3.71725,72.0,-2.7905833333333336,72.0,-0.3085833333333333,72.0,-0.5708333333333334,72.0,-3.813916666666667,72.0,-3.099083333333333
73,-1.15925,73.0,-1.1685,73.0,-3.718916666666667,73.0,-2.8315,73.0,-0.31475000000000003,73.0,-0.5356666666666666,73.0,-3.8158333333333334,73.0,-3.1283333333333334
74,-1.1612500000000001,74.0,-1.1716666666666666,74.0,-3.720083333333333,74.0,-2.8204999999999996,74.0,-0.28841666666666665,74.0,-0.5149166666666667,74.0,-3.817,74.0,-3.169833333333333
75,-1.1625833333333333,75.0,-1.16475,75.0,-3.717916666666667,75.0,-2.8929166666666664,75.0,-0.28583333333333333,75.0,-0.4613333333333333,75.0,-3.8166666666666664,75.0,-3.262
76,-1.1631666666666667,76.0,-1.1720833333333334,76.0,-3.7190833333333333,76.0,-2.9499999999999997,76.0,-0.2976666666666667,76.0,-0.45541666666666664,76.0,-3.818,76.0,-3.24975
77,-1.1628333333333334,77.0,-1.17175,77.0,-3.7224166666666663,77.0,-2.8721666666666668,77.0,-0.28099999999999997,77.0,-0.418,77.0,-3.818583333333333,77.0,-3.2190833333333333
78,-1.1706666666666667,78.0,-1.1664166666666667,78.0,-3.7264166666666667,78.0,-2.83325,78.0,-0.29341666666666666,78.0,-0.40216666666666673,78.0,-3.8205833333333334,78.0,-3.1464166666666666
79,-1.16475,79.0,-1.1692500000000001,79.0,-3.7265,79.0,-2.8381666666666665,79.0,-0.27175,79.0,-0.3710833333333334,79.0,-3.8205000000000005,79.0,-3.17125
80,-1.1635833333333332,80.0,-1.1589166666666666,80.0,-3.7236666666666665,80.0,-2.9925833333333336,80.0,-0.24691666666666667,80.0,-0.34441666666666665,80.0,-3.8204166666666666,80.0,-3.3030000000000004
81,-1.16575,81.0,-1.1594166666666668,81.0,-3.7266666666666666,81.0,-2.927583333333333,81.0,-0.24016666666666667,81.0,-0.31716666666666665,81.0,-3.8217499999999998,81.0,-3.2418333333333336
82,-1.16425,82.0,-1.159,82.0,-3.7284166666666665,82.0,-2.9464166666666665,82.0,-0.25333333333333335,82.0,-0.34191666666666665,82.0,-3.8226666666666667,82.0,-3.2845833333333334
83,-1.1660000000000001,83.0,-1.16775,83.0,-3.733916666666667,83.0,-3.0233333333333334,83.0,-0.24941666666666665,83.0,-0.30575,83.0,-3.8240833333333337,83.0,-3.2968333333333333
84,-1.167,84.0,-1.1584999999999999,84.0,-3.7345,84.0,-3.0300833333333332,84.0,-0.24583333333333335,84.0,-0.27366666666666667,84.0,-3.8253333333333335,84.0,-3.33675
85,-1.1716666666666666,85.0,-1.1600833333333334,85.0,-3.731333333333333,85.0,-2.952083333333333,85.0,-0.251,85.0,-0.24858333333333335,85.0,-3.8242499999999997,85.0,-3.286
86,-1.1680833333333334,86.0,-1.1700833333333334,86.0,-3.733833333333333,86.0,-2.988,86.0,-0.24925,86.0,-0.2648333333333333,86.0,-3.825583333333333,86.0,-3.3250833333333336
