Hum SNR,score,WhiteNoise SNR,score.1,Clipping Percentage(%),score.2,Dropout Num,score.3,Hum SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage(%).1,score.6,Dropout Num.1,score.7
11,-0.7283333333333334,11.0,-2.535833333333333,11.0,-0.8508333333333334,11.0,-0.69,11.0,-0.395,11.0,-2.585,11.0,-0.6425,11.0,-0.33083333333333337
12,-0.7191666666666667,12.0,-2.441666666666667,12.0,-0.8691666666666666,12.0,-0.6975000000000001,12.0,-0.3825,12.0,-2.4991666666666665,12.0,-0.6658333333333334,12.0,-0.33666666666666667
13,-0.7141666666666667,13.0,-2.3649999999999998,13.0,-0.8741666666666666,13.0,-0.6966666666666667,13.0,-0.37666666666666665,13.0,-2.4166666666666665,13.0,-0.6808333333333333,13.0,-0.3383333333333334
14,-0.7116666666666666,14.0,-2.2641666666666667,14.0,-0.8916666666666666,14.0,-0.6958333333333333,14.0,-0.36916666666666664,14.0,-2.3108333333333335,14.0,-0.7041666666666666,14.0,-0.34
15,-0.7050000000000001,15.0,-2.1708333333333334,15.0,-0.8991666666666668,15.0,-0.7016666666666667,15.0,-0.36000000000000004,15.0,-2.215,15.0,-0.7183333333333333,15.0,-0.35000000000000003
16,-0.7025,16.0,-2.0825,16.0,-0.9183333333333333,16.0,-0.7075,16.0,-0.355,16.0,-2.1333333333333333,16.0,-0.7433333333333333,16.0,-0.36083333333333334
17,-0.6966666666666667,17.0,-1.9958333333333333,17.0,-0.9216666666666667,17.0,-0.7083333333333334,17.0,-0.35083333333333333,17.0,-2.04,17.0,-0.7608333333333334,17.0,-0.35833333333333334
18,-0.6925,18.0,-1.9058333333333335,18.0,-0.9391666666666666,18.0,-0.71,18.0,-0.34833333333333333,18.0,-1.9525,18.0,-0.7741666666666666,18.0,-0.35333333333333333
19,-0.6883333333333334,19.0,-1.8033333333333335,19.0,-0.9475000000000001,19.0,-0.7133333333333334,19.0,-0.3416666666666666,19.0,-1.8466666666666667,19.0,-0.7933333333333333,19.0,-0.36916666666666664
20,-0.6883333333333334,20.0,-1.7275,20.0,-0.9633333333333334,20.0,-0.7158333333333333,20.0,-0.3383333333333334,20.0,-1.7658333333333334,20.0,-0.8166666666666668,20.0,-0.3733333333333333
21,-0.6833333333333332,21.0,-1.6416666666666666,21.0,-0.9733333333333333,21.0,-0.7200000000000001,21.0,-0.33666666666666667,21.0,-1.6816666666666666,21.0,-0.8275,21.0,-0.3775
22,-0.6841666666666667,22.0,-1.5666666666666667,22.0,-0.9858333333333333,22.0,-0.7275,22.0,-0.33166666666666667,22.0,-1.5925,22.0,-0.8441666666666666,22.0,-0.3875
23,-0.6808333333333333,23.0,-1.4925,23.0,-0.9983333333333334,23.0,-0.7408333333333333,23.0,-0.33083333333333337,23.0,-1.51,23.0,-0.8649999999999999,23.0,-0.4075
24,-0.6791666666666667,24.0,-1.425,24.0,-1.0041666666666667,24.0,-0.7200000000000001,24.0,-0.32666666666666666,24.0,-1.4275,24.0,-0.8775,24.0,-0.3841666666666667
25,-0.6775000000000001,25.0,-1.3566666666666667,25.0,-1.0141666666666667,25.0,-0.7358333333333333,25.0,-0.32666666666666666,25.0,-1.3466666666666667,25.0,-0.8916666666666666,25.0,-0.40166666666666667
26,-0.6766666666666666,26.0,-1.2991666666666666,26.0,-1.03,26.0,-0.7225,26.0,-0.32416666666666666,26.0,-1.2766666666666666,26.0,-0.9116666666666666,26.0,-0.3825
27,-0.6741666666666667,27.0,-1.2283333333333333,27.0,-1.0374999999999999,27.0,-0.7291666666666666,27.0,-0.32583333333333336,27.0,-1.195,27.0,-0.9225,27.0,-0.39749999999999996
28,-0.6741666666666667,28.0,-1.175,28.0,-1.0508333333333333,28.0,-0.7275,28.0,-0.32083333333333336,28.0,-1.1208333333333333,28.0,-0.9433333333333334,28.0,-0.395
29,-0.6733333333333333,29.0,-1.1199999999999999,29.0,-1.0625,29.0,-0.7316666666666666,29.0,-0.32,29.0,-1.0541666666666667,29.0,-0.9575,29.0,-0.405
30,-0.6725,30.0,-1.07,30.0,-1.0758333333333334,30.0,-0.745,30.0,-0.31583333333333335,30.0,-0.9866666666666667,30.0,-0.9725,30.0,-0.42333333333333334
31,-0.6716666666666667,31.0,-1.0175,31.0,-1.0858333333333332,31.0,-0.7441666666666666,31.0,-0.3175,31.0,-0.9208333333333334,31.0,-0.9858333333333333,31.0,-0.42083333333333334
32,-0.6725,32.0,-0.9741666666666666,32.0,-1.0941666666666667,32.0,-0.7525,32.0,-0.315,32.0,-0.8541666666666666,32.0,-1.0008333333333332,32.0,-0.4291666666666667
33,-0.6691666666666666,33.0,-0.9349999999999999,33.0,-1.1108333333333333,33.0,-0.7425,33.0,-0.3125,33.0,-0.7966666666666667,33.0,-1.0166666666666666,33.0,-0.4191666666666667
34,-0.67,34.0,-0.9025,34.0,-1.1225,34.0,-0.7508333333333334,34.0,-0.31,34.0,-0.7483333333333334,34.0,-1.0275,34.0,-0.42916666666666664
35,-0.6716666666666667,35.0,-0.8716666666666667,35.0,-1.1325,35.0,-0.7491666666666666,35.0,-0.31,35.0,-0.7091666666666666,35.0,-1.0466666666666666,35.0,-0.42583333333333334
36,-0.6708333333333334,36.0,-0.8466666666666667,36.0,-1.1375,36.0,-0.7475,36.0,-0.3116666666666667,36.0,-0.6608333333333333,36.0,-1.0574999999999999,36.0,-0.4266666666666667
37,-0.6691666666666666,37.0,-0.8241666666666667,37.0,-1.1466666666666667,37.0,-0.7458333333333332,37.0,-0.30833333333333335,37.0,-0.6308333333333332,37.0,-1.0716666666666665,37.0,-0.43
38,-0.6666666666666666,38.0,-0.8083333333333332,38.0,-1.1658333333333333,38.0,-0.7566666666666667,38.0,-0.3075,38.0,-0.6033333333333334,38.0,-1.0866666666666667,38.0,-0.435
39,-0.6683333333333333,39.0,-0.7841666666666667,39.0,-1.1733333333333333,39.0,-0.7608333333333334,39.0,-0.3066666666666667,39.0,-0.5716666666666667,39.0,-1.105,39.0,-0.4475
40,-0.6691666666666666,40.0,-0.7691666666666667,40.0,-1.1816666666666666,40.0,-0.7591666666666667,40.0,-0.3075,40.0,-0.5425,40.0,-1.1183333333333334,40.0,-0.4466666666666667
41,-0.6683333333333333,41.0,-0.7575,41.0,-1.19,41.0,-0.7683333333333334,41.0,-0.30333333333333334,41.0,-0.525,41.0,-1.135,41.0,-0.4558333333333333
42,-0.6691666666666666,42.0,-0.7425,42.0,-1.2041666666666666,42.0,-0.7708333333333334,42.0,-0.3025,42.0,-0.5025000000000001,42.0,-1.14,42.0,-0.4566666666666667
43,-0.67,43.0,-0.7266666666666667,43.0,-1.2108333333333332,43.0,-0.7808333333333333,43.0,-0.3025,43.0,-0.4775,43.0,-1.1533333333333333,43.0,-0.4683333333333333
