HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
65,0.81,65,0.81,65,0.26,65,0.72,65,0.95,65,0.91,65,0.26,65,0.77
66,0.81,66,0.81,66,0.26,66,0.74,66,0.95,66,0.91,66,0.26,66,0.81
67,0.81,67,0.81,67,0.26,67,0.74,67,0.95,67,0.92,67,0.26,67,0.8
68,0.81,68,0.81,68,0.25,68,0.73,68,0.95,68,0.92,68,0.25,68,0.79
69,0.81,69,0.81,69,0.25,69,0.71,69,0.95,69,0.92,69,0.25,69,0.76
70,0.81,70,0.81,70,0.25,70,0.73,70,0.95,70,0.93,70,0.25,70,0.78
71,0.81,71,0.81,71,0.25,71,0.72,71,0.95,71,0.93,71,0.25,71,0.78
72,0.81,72,0.81,72,0.25,72,0.71,72,0.96,72,0.92,72,0.25,72,0.77
73,0.81,73,0.81,73,0.25,73,0.72,73,0.96,73,0.94,73,0.25,73,0.77
74,0.81,74,0.81,74,0.25,74,0.73,74,0.95,74,0.94,74,0.25,74,0.8
75,0.81,75,0.82,75,0.25,75,0.73,75,0.95,75,0.95,75,0.24,75,0.79
76,0.81,76,0.81,76,0.24,76,0.73,76,0.96,76,0.95,76,0.24,76,0.78
77,0.81,77,0.81,77,0.24,77,0.72,77,0.96,77,0.95,77,0.24,77,0.77
78,0.82,78,0.81,78,0.24,78,0.69,78,0.96,78,0.95,78,0.24,78,0.75
79,0.81,79,0.82,79,0.24,79,0.73,79,0.96,79,0.94,79,0.24,79,0.78
80,0.81,80,0.81,80,0.24,80,0.71,80,0.96,80,0.94,80,0.24,80,0.76
81,0.81,81,0.81,81,0.24,81,0.73,81,0.96,81,0.95,81,0.24,81,0.79
82,0.81,82,0.81,82,0.24,82,0.73,82,0.96,82,0.95,82,0.24,82,0.77
83,0.81,83,0.81,83,0.24,83,0.71,83,0.96,83,0.95,83,0.24,83,0.76
84,0.81,84,0.81,84,0.23,84,0.73,84,0.96,84,0.96,84,0.23,84,0.78
