Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
50,-0.79344,50,-0.95233,50,-3.0606,50,-2.3492,50,-0.25158,50,-0.61051,50,-3.0609,50,-2.1657
51,-0.78856,51,-0.91713,51,-3.0715,51,-2.6891,51,-0.23082,51,-0.61872,51,-3.0638,51,-2.7023
52,-0.7792,52,-0.89785,52,-3.085,52,-2.4068,52,-0.283,52,-0.54781,52,-3.0799,52,-2.4901
53,-0.79145,53,-0.81592,53,-3.091,53,-2.4741,53,-0.25642,53,-0.52364,53,-3.0915,53,-2.3277
54,-0.79758,54,-0.79306,54,-3.0848,54,-2.7059,54,-0.2496,54,-0.53895,54,-3.0896,54,-2.7108
55,-0.7944,55,-0.90026,55,-3.088,55,-2.608,55,-0.25123,55,-0.59325,55,-3.0978,55,-2.6973
56,-0.80652,56,-0.89617,56,-3.1236,56,-2.2299,56,-0.24197,56,-0.50817,56,-3.1214,56,-2.3368
57,-0.7847,57,-0.83168,57,-3.1255,57,-2.538,57,-0.24066,57,-0.48202,57,-3.1284,57,-2.3625
58,-0.76856,58,-0.8585,58,-3.1075,58,-2.5784,58,-0.2657,58,-0.43374,58,-3.1145,58,-2.5029
59,-0.79422,59,-0.89218,59,-3.1173,59,-2.4706,59,-0.25561,59,-0.529,59,-3.1212,59,-2.2556
60,-0.77879,60,-0.74543,60,-3.1104,60,-2.6946,60,-0.22875,60,-0.45972,60,-3.1254,60,-2.7156
61,-0.77641,61,-0.77618,61,-3.1342,61,-2.6094,61,-0.23636,61,-0.41187,61,-3.1464,61,-2.6184
62,-0.79388,62,-0.83487,62,-3.1346,62,-2.793,62,-0.22284,62,-0.45339,62,-3.1444,62,-2.7947
63,-0.80932,63,-0.75148,63,-3.1423,63,-2.8575,63,-0.23995,63,-0.46414,63,-3.1524,63,-2.8569
64,-0.77419,64,-0.81283,64,-3.1712,64,-2.6961,64,-0.22572,64,-0.42288,64,-3.1728,64,-2.6939
65,-0.80291,65,-0.74244,65,-3.1776,65,-2.7554,65,-0.25117,65,-0.39772,65,-3.1813,65,-2.7748
66,-0.78051,66,-0.86595,66,-3.165,66,-2.66,66,-0.24502,66,-0.3627,66,-3.1718,66,-2.6511
67,-0.73466,67,-0.80065,67,-3.1867,67,-2.7007,67,-0.1827,67,-0.39206,67,-3.1822,67,-2.625
68,-0.77775,68,-0.74171,68,-3.1786,68,-2.7685,68,-0.20214,68,-0.35919,68,-3.1783,68,-2.8017
69,-0.82423,69,-0.83835,69,-3.1853,69,-2.854,69,-0.23272,69,-0.37539,69,-3.1911,69,-2.8697
70,-0.76716,70,-0.81011,70,-3.2056,70,-2.8539,70,-0.23968,70,-0.352,70,-3.2056,70,-2.8758
71,-0.80244,71,-0.81084,71,-3.2012,71,-2.5903,71,-0.22498,71,-0.3604,71,-3.2148,71,-2.5191
72,-0.82283,72,-0.72724,72,-3.206,72,-2.729,72,-0.25232,72,-0.30974,72,-3.2145,72,-2.7438
73,-0.81806,73,-0.79347,73,-3.2113,73,-2.8098,73,-0.25931,73,-0.33656,73,-3.2083,73,-2.8045
74,-0.81152,74,-0.82047,74,-3.2102,74,-2.8191,74,-0.21901,74,-0.29176,74,-3.2091,74,-2.8744
75,-0.79645,75,-0.78831,75,-3.2317,75,-2.8567,75,-0.23313,75,-0.29617,75,-3.2398,75,-2.8436
76,-0.78791,76,-0.83056,76,-3.2268,76,-2.7724,76,-0.20742,76,-0.31387,76,-3.2338,76,-2.7915
77,-0.82664,77,-0.72799,77,-3.2265,77,-2.5794,77,-0.21108,77,-0.34231,77,-3.224,77,-2.7896
78,-0.81675,78,-0.77517,78,-3.2422,78,-2.636,78,-0.22887,78,-0.25699,78,-3.2503,78,-2.6395
79,-0.81301,79,-0.78328,79,-3.2389,79,-2.9089,79,-0.20101,79,-0.28777,79,-3.2401,79,-2.8896
80,-0.79689,80,-0.76656,80,-3.2534,80,-2.8087,80,-0.2236,80,-0.19835,80,-3.2556,80,-2.83
81,-0.80656,81,-0.77115,81,-3.25,81,-2.8258,81,-0.21348,81,-0.23036,81,-3.2512,81,-2.7556
82,-0.79622,82,-0.80169,82,-3.2546,82,-2.7308,82,-0.18702,82,-0.30456,82,-3.2577,82,-2.7358
