Haaqi_Score
0.82
0.83
0.8
0.84
0.82
0.82
0.83
0.83
0.83
0.81
0.8
0.84
0.8
0.8
0.82
0.83
0.81
0.83
0.81
0.79
0.83
0.83
0.82
0.83
0.83
0.81
0.83
0.83
0.83
0.82
0.83
0.83
0.83
0.83
0.83
0.83
0.83
0.82
0.83
0.83
0.83
0.83
0.83
0.82
0.83
0.82
0.83
0.83
0.83
0.83
0.83
0.83
0.83
0.83
0.82
0.84
0.83
0.82
0.83
0.83
0.84
0.82
0.83
0.83
0.79
0.82
0.84
0.83
0.83
0.84
0.82
0.82
0.84
0.83
0.83
0.83
0.83
0.81
0.83
0.83
0.83
0.83
0.83
0.83
0.83
0.82
0.82
0.83
0.83
0.84
0.83
0.84
0.83
0.83
0.8
0.83
0.81
0.83
0.83
0.83
