Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
50,-0.79344,50,-0.91117,50,-3.0606,50,-2.3015,50,-0.25158,50,-0.67753,50,-3.0609,50,-2.1929
51,-0.78856,51,-0.9489,51,-3.0715,51,-2.0978,51,-0.23082,51,-0.63971,51,-3.0638,51,-1.9657
52,-0.7792,52,-0.94781,52,-3.085,52,-2.4543,52,-0.283,52,-0.62926,52,-3.0799,52,-2.5065
53,-0.79145,53,-0.94375,53,-3.091,53,-2.5198,53,-0.25642,53,-0.57459,53,-3.0915,53,-2.5485
54,-0.79758,54,-0.83623,54,-3.0848,54,-2.4611,54,-0.2496,54,-0.5288,54,-3.0896,54,-2.5558
55,-0.7944,55,-0.77811,55,-3.088,55,-2.5749,55,-0.25123,55,-0.48742,55,-3.0978,55,-2.5867
56,-0.80652,56,-0.83406,56,-3.1236,56,-2.7323,56,-0.24197,56,-0.46163,56,-3.1214,56,-2.5541
57,-0.7847,57,-0.80548,57,-3.1255,57,-2.7119,57,-0.24066,57,-0.47213,57,-3.1284,57,-2.7397
58,-0.76856,58,-0.80036,58,-3.1075,58,-2.5307,58,-0.2657,58,-0.47701,58,-3.1145,58,-2.6165
59,-0.79422,59,-0.789,59,-3.1173,59,-2.6213,59,-0.25561,59,-0.47272,59,-3.1212,59,-2.5826
60,-0.77879,60,-0.73831,60,-3.1104,60,-2.2705,60,-0.22875,60,-0.45161,60,-3.1254,60,-2.2128
61,-0.77641,61,-0.74524,61,-3.1342,61,-2.5946,61,-0.23636,61,-0.41203,61,-3.1464,61,-2.5251
62,-0.79388,62,-0.77425,62,-3.1346,62,-2.6933,62,-0.22284,62,-0.43139,62,-3.1444,62,-2.7426
63,-0.80932,63,-0.82032,63,-3.1423,63,-2.5228,63,-0.23995,63,-0.42936,63,-3.1524,63,-2.4857
64,-0.77419,64,-0.81346,64,-3.1712,64,-2.5876,64,-0.22572,64,-0.39403,64,-3.1728,64,-2.7731
65,-0.80291,65,-0.80911,65,-3.1776,65,-2.6189,65,-0.25117,65,-0.4041,65,-3.1813,65,-2.567
66,-0.78051,66,-0.74994,66,-3.165,66,-2.6958,66,-0.24502,66,-0.38002,66,-3.1718,66,-2.707
67,-0.73466,67,-0.8305,67,-3.1867,67,-2.3909,67,-0.1827,67,-0.34671,67,-3.1822,67,-2.5136
68,-0.77775,68,-0.84627,68,-3.1786,68,-2.6304,68,-0.20214,68,-0.39149,68,-3.1783,68,-2.5489
69,-0.82423,69,-0.78636,69,-3.1853,69,-2.6372,69,-0.23272,69,-0.30036,69,-3.1911,69,-2.7263
70,-0.76716,70,-0.77374,70,-3.2056,70,-2.5987,70,-0.23968,70,-0.34039,70,-3.2056,70,-2.6097
71,-0.80244,71,-0.82689,71,-3.2012,71,-2.7486,71,-0.22498,71,-0.32398,71,-3.2148,71,-2.7371
72,-0.82283,72,-0.81765,72,-3.206,72,-2.6932,72,-0.25232,72,-0.3223,72,-3.2145,72,-2.7393
73,-0.81806,73,-0.77835,73,-3.2113,73,-2.668,73,-0.25931,73,-0.34366,73,-3.2083,73,-2.649
74,-0.81152,74,-0.81843,74,-3.2102,74,-2.8092,74,-0.21901,74,-0.30134,74,-3.2091,74,-2.8837
75,-0.79645,75,-0.80443,75,-3.2317,75,-2.5279,75,-0.23313,75,-0.30166,75,-3.2398,75,-2.3787
76,-0.78791,76,-0.78195,76,-3.2268,76,-2.6428,76,-0.20742,76,-0.32088,76,-3.2338,76,-2.6017
77,-0.82664,77,-0.80397,77,-3.2265,77,-2.7974,77,-0.21108,77,-0.32649,77,-3.224,77,-2.7723
78,-0.81675,78,-0.82411,78,-3.2422,78,-2.8189,78,-0.22887,78,-0.31183,78,-3.2503,78,-2.8186
79,-0.81301,79,-0.76999,79,-3.2389,79,-2.9338,79,-0.20101,79,-0.29018,79,-3.2401,79,-2.924
80,-0.79689,80,-0.77566,80,-3.2534,80,-2.5213,80,-0.2236,80,-0.24573,80,-3.2556,80,-2.5605
81,-0.80656,81,-0.772,81,-3.25,81,-2.8169,81,-0.21348,81,-0.23959,81,-3.2512,81,-2.918
82,-0.79622,82,-0.81309,82,-3.2546,82,-2.7376,82,-0.18702,82,-0.24897,82,-3.2577,82,-2.7239
83,-0.7884,83,-0.80076,83,-3.2584,83,-2.723,83,-0.22912,83,-0.2518,83,-3.2577,83,-2.7882
84,-0.78562,84,-0.80943,84,-3.2534,84,-2.7046,84,-0.23401,84,-0.24089,84,-3.2559,84,-2.7216
85,-0.78856,85,-0.81673,85,-3.2509,85,-2.7259,85,-0.2524,85,-0.24044,85,-3.2482,85,-2.7652
86,-0.81379,86,-0.8331,86,-3.2522,86,-2.7546,86,-0.2664,86,-0.25725,86,-3.2613,86,-2.8258
87,-0.86772,87,-0.79777,87,-3.256,87,-2.9456,87,-0.22042,87,-0.26295,87,-3.2657,87,-2.8997
88,-0.84454,88,-0.76264,88,-3.2583,88,-2.6954,88,-0.22092,88,-0.23212,88,-3.267,88,-2.6358
89,-0.77946,89,-0.79045,89,-3.2673,89,-2.6919,89,-0.27898,89,-0.21717,89,-3.2653,89,-2.628
90,-0.81643,90,-0.79044,90,-3.2666,90,-2.8574,90,-0.20755,90,-0.23956,90,-3.2714,90,-2.8025
91,-0.80314,91,-0.77505,91,-3.268,91,-2.8981,91,-0.20847,91,-0.23868,91,-3.2714,91,-2.938
92,-0.75064,92,-0.7939,92,-3.2763,92,-3.0379,92,-0.18895,92,-0.20864,92,-3.2734,92,-3.0281
93,-0.803,93,-0.81355,93,-3.2744,93,-2.9007,93,-0.22659,93,-0.20878,93,-3.2777,93,-2.8756
94,-0.80676,94,-0.78986,94,-3.2707,94,-2.8306,94,-0.21038,94,-0.16763,94,-3.2746,94,-2.9084
95,-0.77495,95,-0.8,95,-3.2765,95,-2.9874,95,-0.20867,95,-0.1818,95,-3.2725,95,-3.0275
96,-0.79656,96,-0.81631,96,-3.2664,96,-2.8655,96,-0.20869,96,-0.18891,96,-3.2645,96,-2.8306
97,-0.76691,97,-0.79183,97,-3.282,97,-2.891,97,-0.18217,97,-0.19862,97,-3.2799,97,-2.9355
98,-0.79854,98,-0.77763,98,-3.2924,98,-2.7543,98,-0.21878,98,-0.21336,98,-3.2893,98,-2.7717
99,-0.79813,99,-0.80989,99,-3.2846,99,-2.8839,99,-0.21046,99,-0.17688,99,-3.2844,99,-2.8713
