Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
50,-1.073,50,-1.1236,50,-3.1088,50,-1.418,50,-0.38787,50,-0.90543,50,-3.1107,50,-1.0407
51,-1.0794,51,-1.1086,51,-3.1104,51,-1.7859,51,-0.36494,51,-0.74755,51,-3.0974,51,-1.427
52,-1.0272,52,-1.1247,52,-3.1087,52,-1.5222,52,-0.39785,52,-0.82433,52,-3.1149,52,-1.0504
53,-1.0317,53,-1.136,53,-3.1141,53,-1.3388,53,-0.38252,53,-0.71601,53,-3.1195,53,-0.94321
54,-1.0673,54,-1.0889,54,-3.1112,54,-1.3738,54,-0.35467,54,-0.65784,54,-3.1178,54,-1.0338
55,-1.0674,55,-1.0942,55,-3.1142,55,-1.8366,55,-0.38894,55,-0.65871,55,-3.1224,55,-1.3972
56,-1.1071,56,-1.1336,56,-3.1057,56,-1.8602,56,-0.33098,56,-0.63132,56,-3.1075,56,-1.3062
57,-1.0368,57,-1.1063,57,-3.1297,57,-1.3901,57,-0.29791,57,-0.6346,57,-3.1273,57,-1.0393
58,-1.0928,58,-1.1363,58,-3.1236,58,-1.6118,58,-0.3826,58,-0.52083,58,-3.1172,58,-1.2458
59,-1.0462,59,-1.1702,59,-3.119,59,-1.917,59,-0.31085,59,-0.63503,59,-3.1246,59,-1.662
60,-1.0557,60,-1.0693,60,-3.1399,60,-1.5063,60,-0.35625,60,-0.52606,60,-3.1268,60,-1.0206
61,-1.0881,61,-1.0384,61,-3.1293,61,-1.8104,61,-0.3383,61,-0.5196,61,-3.1333,61,-1.5147
62,-1.0685,62,-1.0947,62,-3.1278,62,-1.4746,62,-0.31649,62,-0.51307,62,-3.1373,62,-1.0686
63,-1.0628,63,-1.0473,63,-3.1415,63,-1.4846,63,-0.28978,63,-0.56103,63,-3.1462,63,-1.2628
64,-1.066,64,-1.0549,64,-3.1417,64,-1.9918,64,-0.27003,64,-0.4571,64,-3.1441,64,-1.9251
65,-1.1073,65,-1.0878,65,-3.1411,65,-1.5028,65,-0.3007,65,-0.46522,65,-3.1405,65,-1.1521
66,-1.05,66,-1.0438,66,-3.145,66,-1.6235,66,-0.29613,66,-0.41928,66,-3.154,66,-1.1556
67,-1.0666,67,-0.99196,67,-3.1516,67,-1.868,67,-0.29321,67,-0.42018,67,-3.1633,67,-1.5108
68,-0.97454,68,-1.1024,68,-3.1826,68,-1.7074,68,-0.233,68,-0.39186,68,-3.1746,68,-1.4178
69,-1.0751,69,-1.1019,69,-3.1678,69,-1.8036,69,-0.25713,69,-0.40545,69,-3.1725,69,-1.2752
70,-1.0567,70,-1.0346,70,-3.1804,70,-1.8407,70,-0.25757,70,-0.31888,70,-3.1763,70,-1.4978
71,-1.014,71,-1.0339,71,-3.1805,71,-1.7662,71,-0.26507,71,-0.27829,71,-3.1669,71,-1.4109
72,-1.0168,72,-1.0632,72,-3.1938,72,-1.8479,72,-0.23015,72,-0.37815,72,-3.1923,72,-1.5038
73,-1.0229,73,-1.0419,73,-3.1898,73,-1.744,73,-0.23083,73,-0.3207,73,-3.1813,73,-1.3778
74,-1.0073,74,-1.0914,74,-3.195,74,-1.6291,74,-0.23652,74,-0.29423,74,-3.1818,74,-1.306
75,-0.98327,75,-1.0495,75,-3.1974,75,-1.8188,75,-0.19784,75,-0.28085,75,-3.2016,75,-1.3962
76,-1.0472,76,-0.99514,76,-3.2045,76,-1.9576,76,-0.22979,76,-0.2595,76,-3.2038,76,-1.6504
77,-0.99578,77,-1.0811,77,-3.2066,77,-1.7351,77,-0.21038,77,-0.27496,77,-3.2083,77,-1.5396
78,-1.0066,78,-1.0276,78,-3.2114,78,-1.8893,78,-0.16677,78,-0.25259,78,-3.2252,78,-1.5138
79,-1.0061,79,-1.0232,79,-3.2144,79,-1.9237,79,-0.20087,79,-0.31482,79,-3.2253,79,-1.7792
80,-1.0035,80,-1.0755,80,-3.2111,80,-2.0631,80,-0.14702,80,-0.25163,80,-3.2204,80,-1.8458
81,-0.99962,81,-1.0393,81,-3.2068,81,-1.8803,81,-0.17032,81,-0.25861,81,-3.2257,81,-1.6283
82,-1.0173,82,-1.0313,82,-3.2193,82,-1.6651,82,-0.1586,82,-0.22973,82,-3.2294,82,-1.4845
83,-1.017,83,-1.0113,83,-3.2223,83,-1.7988,83,-0.22081,83,-0.21677,83,-3.2198,83,-1.6184
84,-1.0072,84,-0.98965,84,-3.2413,84,-2.0151,84,-0.16183,84,-0.19524,84,-3.2295,84,-1.7343
85,-1.0222,85,-1.0021,85,-3.2328,85,-1.9043,85,-0.21511,85,-0.2099,85,-3.2269,85,-1.6881
86,-1.0263,86,-1.0238,86,-3.2396,86,-1.6665,86,-0.17334,86,-0.23314,86,-3.2375,86,-1.3726
87,-1.0636,87,-0.99823,87,-3.236,87,-1.6496,87,-0.21546,87,-0.17446,87,-3.2313,87,-1.5621
88,-1.0269,88,-1.0212,88,-3.2316,88,-1.821,88,-0.24008,88,-0.13572,88,-3.2311,88,-1.5759
89,-1.0311,89,-1.0749,89,-3.244,89,-2.0906,89,-0.20163,89,-0.17715,89,-3.2462,89,-1.8587
