Vis_Score
-0.41
-0.36
-0.39
-0.36
-0.36
-0.37
-0.37
-0.39
-0.37
-0.38
-0.38
-0.36
-0.35
-0.36
-0.37
-0.37
-0.37
-0.38
-0.4
-0.36
-0.37
-0.4
-0.41
-0.38
-0.39
-0.36
-0.37
-0.41
-0.37
-0.36
-0.36
-0.36
-0.37
-0.36
-0.37
-0.36
-0.36
-0.39
-0.35
-0.36
-0.36
-0.36
-0.39
-0.37
-0.37
-0.37
-0.39
-0.43
-0.37
-0.37
-0.37
-0.4
-0.35
-0.37
-0.37
-0.37
-0.36
-0.36
-0.36
-0.37
-0.37
-0.39
-0.38
-0.39
-0.37
-0.36
-0.35
-0.36
-0.36
-0.37
-0.37
-0.37
-0.37
-0.37
-0.39
-0.36
-0.39
-0.39
-0.35
-0.36
-0.36
-0.38
-0.39
-0.36
-0.39
-0.36
-0.37
-0.37
-0.37
-0.39
-0.37
-0.37
-0.36
-0.36
-0.39
-0.36
-0.38
-0.38
-0.36
-0.4
