HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,0.52,1,0.2,1,0.77,1,0.81,1,0.51,1,0.21,1,0.78,1,0.95
2,0.52,2,0.22,2,0.73,2,0.82,2,0.53,2,0.22,2,0.71,2,0.95
3,0.53,3,0.22,3,0.68,3,0.81,3,0.53,3,0.22,3,0.64,3,0.94
4,0.54,4,0.23,4,0.64,4,0.81,4,0.53,4,0.23,4,0.61,4,0.93
5,0.56,5,0.25,5,0.62,5,0.81,5,0.54,5,0.25,5,0.58,5,0.94
6,0.57,6,0.26,6,0.59,6,0.81,6,0.56,6,0.26,6,0.56,6,0.92
7,0.58,7,0.27,7,0.57,7,0.81,7,0.57,7,0.27,7,0.54,7,0.94
8,0.59,8,0.29,8,0.55,8,0.81,8,0.59,8,0.28,8,0.52,8,0.94
9,0.61,9,0.3,9,0.53,9,0.81,9,0.6,9,0.3,9,0.5,9,0.94
10,0.62,10,0.31,10,0.51,10,0.8,10,0.62,10,0.3,10,0.49,10,0.91
11,0.63,11,0.33,11,0.5,11,0.8,11,0.64,11,0.32,11,0.48,11,0.9
12,0.64,12,0.35,12,0.48,12,0.79,12,0.66,12,0.34,12,0.46,12,0.9
13,0.66,13,0.35,13,0.47,13,0.8,13,0.68,13,0.35,13,0.45,13,0.91
14,0.68,14,0.38,14,0.46,14,0.79,14,0.7,14,0.37,14,0.44,14,0.89
15,0.69,15,0.39,15,0.45,15,0.79,15,0.72,15,0.38,15,0.43,15,0.9
16,0.71,16,0.43,16,0.45,16,0.78,16,0.74,16,0.41,16,0.42,16,0.86
17,0.72,17,0.45,17,0.44,17,0.79,17,0.76,17,0.43,17,0.41,17,0.88
18,0.73,18,0.48,18,0.42,18,0.78,18,0.78,18,0.45,18,0.4,18,0.87
19,0.75,19,0.51,19,0.41,19,0.76,19,0.8,19,0.48,19,0.39,19,0.83
20,0.76,20,0.53,20,0.4,20,0.79,20,0.81,20,0.49,20,0.38,20,0.86
21,0.77,21,0.56,21,0.39,21,0.78,21,0.83,21,0.52,21,0.38,21,0.87
22,0.77,22,0.59,22,0.38,22,0.76,22,0.84,22,0.54,22,0.37,22,0.82
23,0.78,23,0.61,23,0.38,23,0.76,23,0.85,23,0.56,23,0.36,23,0.83
24,0.78,24,0.64,24,0.37,24,0.77,24,0.86,24,0.58,24,0.36,24,0.84
25,0.79,25,0.65,25,0.36,25,0.75,25,0.87,25,0.6,25,0.35,25,0.81
26,0.8,26,0.69,26,0.36,26,0.77,26,0.88,26,0.63,26,0.35,26,0.85
27,0.8,27,0.7,27,0.35,27,0.77,27,0.88,27,0.65,27,0.34,27,0.85
28,0.81,28,0.72,28,0.35,28,0.76,28,0.89,28,0.66,28,0.33,28,0.82
29,0.8,29,0.74,29,0.34,29,0.78,29,0.9,29,0.68,29,0.33,29,0.85
