PEAQADV_Score
-0.891
-0.791
-1.263
-1.669
-0.765
-0.803
-0.855
-1.401
-1.059
-1.116
-2.206
-1.027
-0.954
-0.893
-1.622
-0.94
-1.245
-1.085
-0.857
-0.79
-1.65
-0.841
-0.839
-1.052
-1.314
-1.404
-1.596
-1.372
-0.985
-0.985
-1.47
-0.853
-0.917
-1.609
-2.586
-0.798
-1.289
-1.321
-1.546
-0.779
-1.071
-1.039
-0.898
-0.899
-1.31
-0.877
-1.837
-0.924
-1.093
-0.96
-1.839
-1.468
-2.279
-1.722
-1.029
-1.569
-1.316
-0.802
-1.569
-1.025
-0.9
-1.035
-1.477
-2.176
-1.436
-1.148
-1.12
-1.215
-0.945
-2.733
-1.157
-0.825
-0.968
-1.028
-0.89
-1.28
-1.288
-0.846
-0.97
-1.146
-1.773
-1.316
-1.163
-1.115
-0.828
-1.359
-1.909
-1.097
-1.152
-1.389
-0.89
-1.386
-0.987
-1.252
-1.005
-1.121
-1.257
-1.075
-0.832
-1.572
