HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
20,0.84,20,0.64,20,0.5,20,0.84,20,0.87,20,0.61,20,0.48,20,0.88
21,0.85,21,0.66,21,0.49,21,0.84,21,0.88,21,0.63,21,0.47,21,0.89
22,0.85,22,0.7,22,0.48,22,0.84,22,0.89,22,0.66,22,0.46,22,0.89
23,0.85,23,0.71,23,0.47,23,0.85,23,0.9,23,0.68,23,0.45,23,0.9
24,0.86,24,0.73,24,0.47,24,0.84,24,0.91,24,0.69,24,0.44,24,0.89
25,0.86,25,0.75,25,0.45,25,0.84,25,0.91,25,0.71,25,0.43,25,0.89
26,0.86,26,0.77,26,0.44,26,0.84,26,0.92,26,0.73,26,0.42,26,0.89
27,0.86,27,0.78,27,0.44,27,0.83,27,0.92,27,0.74,27,0.41,27,0.86
28,0.87,28,0.8,28,0.43,28,0.84,28,0.93,28,0.75,28,0.41,28,0.89
29,0.87,29,0.81,29,0.42,29,0.82,29,0.93,29,0.77,29,0.4,29,0.87
30,0.87,30,0.83,30,0.41,30,0.82,30,0.93,30,0.79,30,0.39,30,0.84
31,0.87,31,0.84,31,0.4,31,0.83,31,0.93,31,0.8,31,0.38,31,0.87
32,0.87,32,0.84,32,0.39,32,0.82,32,0.94,32,0.8,32,0.38,32,0.85
33,0.87,33,0.84,33,0.39,33,0.82,33,0.94,33,0.8,33,0.37,33,0.86
34,0.87,34,0.85,34,0.38,34,0.83,34,0.94,34,0.81,34,0.37,34,0.85
35,0.87,35,0.86,35,0.38,35,0.83,35,0.95,35,0.82,35,0.36,35,0.86
36,0.87,36,0.86,36,0.37,36,0.82,36,0.95,36,0.83,36,0.35,36,0.85
37,0.87,37,0.86,37,0.36,37,0.82,37,0.94,37,0.82,37,0.35,37,0.86
38,0.87,38,0.86,38,0.36,38,0.83,38,0.94,38,0.83,38,0.35,38,0.85
39,0.87,39,0.86,39,0.35,39,0.81,39,0.95,39,0.84,39,0.34,39,0.85
40,0.87,40,0.86,40,0.35,40,0.82,40,0.95,40,0.84,40,0.34,40,0.85
41,0.87,41,0.87,41,0.35,41,0.82,41,0.95,41,0.85,41,0.34,41,0.85
42,0.87,42,0.87,42,0.34,42,0.83,42,0.95,42,0.85,42,0.33,42,0.85
43,0.87,43,0.86,43,0.33,43,0.82,43,0.95,43,0.85,43,0.32,43,0.85
44,0.87,44,0.87,44,0.33,44,0.81,44,0.95,44,0.86,44,0.32,44,0.84
45,0.87,45,0.86,45,0.33,45,0.82,45,0.95,45,0.86,45,0.32,45,0.84
46,0.87,46,0.87,46,0.32,46,0.81,46,0.95,46,0.87,46,0.31,46,0.83
47,0.87,47,0.87,47,0.32,47,0.8,47,0.96,47,0.87,47,0.31,47,0.83
48,0.87,48,0.87,48,0.32,48,0.79,48,0.96,48,0.86,48,0.31,48,0.82
49,0.87,49,0.87,49,0.31,49,0.81,49,0.96,49,0.87,49,0.3,49,0.84
50,0.87,50,0.87,50,0.31,50,0.82,50,0.95,50,0.88,50,0.3,50,0.85
51,0.87,51,0.87,51,0.31,51,0.79,51,0.96,51,0.88,51,0.3,51,0.8
52,0.87,52,0.87,52,0.3,52,0.8,52,0.95,52,0.88,52,0.29,52,0.82
53,0.87,53,0.87,53,0.3,53,0.81,53,0.96,53,0.88,53,0.29,53,0.82
54,0.87,54,0.87,54,0.3,54,0.79,54,0.96,54,0.89,54,0.29,54,0.8
55,0.87,55,0.87,55,0.29,55,0.81,55,0.96,55,0.89,55,0.29,55,0.83
56,0.87,56,0.87,56,0.29,56,0.8,56,0.96,56,0.89,56,0.28,56,0.82
57,0.87,57,0.87,57,0.29,57,0.82,57,0.96,57,0.89,57,0.28,57,0.85
58,0.87,58,0.87,58,0.29,58,0.79,58,0.96,58,0.9,58,0.28,58,0.81
59,0.87,59,0.87,59,0.28,59,0.8,59,0.96,59,0.9,59,0.27,59,0.82
60,0.87,60,0.87,60,0.28,60,0.78,60,0.96,60,0.9,60,0.27,60,0.78
61,0.87,61,0.87,61,0.28,61,0.79,61,0.96,61,0.91,61,0.27,61,0.8
62,0.87,62,0.87,62,0.27,62,0.79,62,0.96,62,0.9,62,0.27,62,0.8
63,0.87,63,0.87,63,0.27,63,0.78,63,0.96,63,0.91,63,0.27,63,0.8
64,0.87,64,0.87,64,0.27,64,0.79,64,0.96,64,0.92,64,0.26,64,0.81
65,0.87,65,0.87,65,0.27,65,0.78,65,0.96,65,0.92,65,0.26,65,0.79
66,0.87,66,0.87,66,0.27,66,0.77,66,0.96,66,0.92,66,0.26,66,0.8
67,0.87,67,0.87,67,0.26,67,0.79,67,0.97,67,0.92,67,0.26,67,0.81
68,0.87,68,0.87,68,0.26,68,0.78,68,0.96,68,0.92,68,0.26,68,0.79
69,0.87,69,0.87,69,0.26,69,0.77,69,0.97,69,0.93,69,0.26,69,0.78
70,0.87,70,0.87,70,0.26,70,0.78,70,0.96,70,0.93,70,0.25,70,0.8
71,0.87,71,0.87,71,0.26,71,0.79,71,0.96,71,0.93,71,0.25,71,0.8
72,0.87,72,0.87,72,0.25,72,0.78,72,0.96,72,0.94,72,0.25,72,0.78
73,0.87,73,0.87,73,0.25,73,0.78,73,0.96,73,0.94,73,0.25,73,0.78
74,0.87,74,0.87,74,0.25,74,0.76,74,0.97,74,0.94,74,0.25,74,0.76
75,0.87,75,0.87,75,0.25,75,0.77,75,0.96,75,0.94,75,0.25,75,0.78
76,0.87,76,0.87,76,0.25,76,0.77,76,0.96,76,0.94,76,0.24,76,0.78
77,0.87,77,0.87,77,0.25,77,0.78,77,0.96,77,0.94,77,0.24,77,0.78
