PEAQBasic_Score
-2.396
-2.996
-3.404
-2.78
-2.166
-2.248
-2.87
-2.468
-2.195
-2.994
-3.063
-2.237
-2.278
-2.543
-2.214
-2.222
-2.473
-3.023
-2.901
-2.945
-2.599
-2.787
-2.453
-2.53
-3.118
-2.943
-2.776
-2.579
-2.9
-2.173
-2.256
-2.382
-2.093
-2.114
-3.051
-3.459
-3.327
-2.203
-2.598
-2.468
-2.966
-2.217
-3.077
-2.769
-2.482
-2.233
-3.018
-2.307
-3.125
-2.405
-2.962
-2.32
-2.131
-2.682
-2.476
-2.712
-3.378
-2.535
-2.879
-2.466
-2.587
-2.866
-2.876
-3.05
-2.578
-2.696
-2.332
-2.844
-2.884
-2.189
-2.152
-3.273
-2.21
-2.726
-2.776
-2.741
-2.59
-2.17
-2.741
-2.912
-3.017
-2.295
-2.423
-2.186
-3.136
-2.602
-2.368
-2.621
-2.631
-2.558
-2.68
-2.299
-2.148
-2.733
-2.913
-2.163
-2.907
-2.92
-2.591
-2.66
