Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
50,-1.073,50,-1.1275,50,-3.1088,50,-1.2386,50,-0.38787,50,-0.843,50,-3.1107,50,-0.78696
51,-1.0794,51,-1.1632,51,-3.1104,51,-1.4408,51,-0.36494,51,-0.77778,51,-3.0974,51,-1.1356
52,-1.0272,52,-1.1446,52,-3.1087,52,-1.5139,52,-0.39785,52,-0.74495,52,-3.1149,52,-1.1093
53,-1.0317,53,-1.1419,53,-3.1141,53,-1.2952,53,-0.38252,53,-0.73593,53,-3.1195,53,-0.98878
54,-1.0673,54,-1.0578,54,-3.1112,54,-1.4334,54,-0.35467,54,-0.72422,54,-3.1178,54,-1.0372
55,-1.0674,55,-1.1073,55,-3.1142,55,-1.3478,55,-0.38894,55,-0.65218,55,-3.1224,55,-1.0262
56,-1.1071,56,-1.0687,56,-3.1057,56,-2.0777,56,-0.33098,56,-0.61415,56,-3.1075,56,-1.848
57,-1.0368,57,-1.0864,57,-3.1297,57,-1.8619,57,-0.29791,57,-0.66058,57,-3.1273,57,-1.4916
58,-1.0928,58,-1.0125,58,-3.1236,58,-1.6383,58,-0.3826,58,-0.56652,58,-3.1172,58,-1.2382
59,-1.0462,59,-1.1083,59,-3.119,59,-1.9367,59,-0.31085,59,-0.56211,59,-3.1246,59,-1.6721
60,-1.0557,60,-1.0598,60,-3.1399,60,-2.0998,60,-0.35625,60,-0.52652,60,-3.1268,60,-1.8075
61,-1.0881,61,-1.0665,61,-3.1293,61,-2.0972,61,-0.3383,61,-0.53708,61,-3.1333,61,-1.7567
62,-1.0685,62,-1.038,62,-3.1278,62,-1.7505,62,-0.31649,62,-0.51038,62,-3.1373,62,-1.3444
63,-1.0628,63,-1.0353,63,-3.1415,63,-1.8248,63,-0.28978,63,-0.48415,63,-3.1462,63,-1.5329
64,-1.066,64,-1.0967,64,-3.1417,64,-2.3112,64,-0.27003,64,-0.52876,64,-3.1441,64,-2.2292
65,-1.1073,65,-1.0494,65,-3.1411,65,-1.5672,65,-0.3007,65,-0.44774,65,-3.1405,65,-0.97767
66,-1.05,66,-0.99026,66,-3.145,66,-1.7814,66,-0.29613,66,-0.442,66,-3.154,66,-1.4312
67,-1.0666,67,-1.0429,67,-3.1516,67,-1.5221,67,-0.29321,67,-0.4793,67,-3.1633,67,-1.2058
68,-0.97454,68,-1.1127,68,-3.1826,68,-1.9782,68,-0.233,68,-0.41682,68,-3.1746,68,-1.471
69,-1.0751,69,-1.0175,69,-3.1678,69,-1.8891,69,-0.25713,69,-0.44508,69,-3.1725,69,-1.4919
70,-1.0567,70,-1.0794,70,-3.1804,70,-1.6517,70,-0.25757,70,-0.32554,70,-3.1763,70,-1.3675
71,-1.014,71,-1.0388,71,-3.1805,71,-1.8148,71,-0.26507,71,-0.34715,71,-3.1669,71,-1.4761
72,-1.0168,72,-1.0406,72,-3.1938,72,-1.8512,72,-0.23015,72,-0.31154,72,-3.1923,72,-1.5859
73,-1.0229,73,-1.0544,73,-3.1898,73,-1.9874,73,-0.23083,73,-0.30716,73,-3.1813,73,-1.8434
74,-1.0073,74,-1.0478,74,-3.195,74,-1.5376,74,-0.23652,74,-0.3416,74,-3.1818,74,-1.146
75,-0.98327,75,-1.0658,75,-3.1974,75,-2.0767,75,-0.19784,75,-0.28643,75,-3.2016,75,-1.958
76,-1.0472,76,-1.0388,76,-3.2045,76,-2.0076,76,-0.22979,76,-0.25359,76,-3.2038,76,-2.0512
77,-0.99578,77,-1.0307,77,-3.2066,77,-1.8135,77,-0.21038,77,-0.2899,77,-3.2083,77,-1.5765
78,-1.0066,78,-1.0036,78,-3.2114,78,-1.8358,78,-0.16677,78,-0.32075,78,-3.2252,78,-1.4624
79,-1.0061,79,-1.0063,79,-3.2144,79,-2.1595,79,-0.20087,79,-0.21843,79,-3.2253,79,-2.1553
80,-1.0035,80,-1.0152,80,-3.2111,80,-1.9568,80,-0.14702,80,-0.19296,80,-3.2204,80,-1.6246
81,-0.99962,81,-1.0067,81,-3.2068,81,-2.0594,81,-0.17032,81,-0.23878,81,-3.2257,81,-2.1159
82,-1.0173,82,-1.0647,82,-3.2193,82,-1.5986,82,-0.1586,82,-0.22126,82,-3.2294,82,-1.5185
83,-1.017,83,-1.027,83,-3.2223,83,-1.8554,83,-0.22081,83,-0.21134,83,-3.2198,83,-1.5891
84,-1.0072,84,-0.98683,84,-3.2413,84,-2.0148,84,-0.16183,84,-0.18536,84,-3.2295,84,-2.0335
85,-1.0222,85,-1.0444,85,-3.2328,85,-1.8892,85,-0.21511,85,-0.22182,85,-3.2269,85,-1.7919
86,-1.0263,86,-1.0109,86,-3.2396,86,-2.0614,86,-0.17334,86,-0.17412,86,-3.2375,86,-1.6912
87,-1.0636,87,-0.98436,87,-3.236,87,-2.0623,87,-0.21546,87,-0.17335,87,-3.2313,87,-1.9188
88,-1.0269,88,-1.0213,88,-3.2316,88,-1.8931,88,-0.24008,88,-0.17484,88,-3.2311,88,-1.5045
